Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
General WG Score,Marketing,GENERAL_WG_SCORE,,,"WG Summary (Council%2018/Council%20Period%2017/WG%20Summary%207fa1c076a16f4ec59787ed0c5db71b1e.md), WG Opportunities (Council%2018/Council%20Period%2017/WG%20Opportunities%20d3e4ebb49f0b47cfb6e202e2b6be15af.md), Opening Score (Council%2018/Council%20Period%2017/Opening%20Score%20c0b192c95a55475487fe4d86b0cd61a5.md), Bounty Score (Council%2018/Council%20Period%2017/Bounty%20Score%208743d27e9e5d4e9fbd4f27e021eafc0b.md), WG Period Plan (Council%2018/Council%20Period%2017/WG%20Period%20Plan%2059788e31461e4398bfe1c42d0b48b828.md), WG Summary (Council%2018/Council%20Period%2017/WG%20Summary%20109ac347bfb2459b97c8b0ef7a261e09.md), WG Opportunities (Council%2018/Council%20Period%2017/WG%20Opportunities%20a907882f7d2f4eda9db7d47a67945a94.md), Bounty Score (Council%2018/Council%20Period%2017/Bounty%20Score%20556a5f1f89394e9b8a29ee9ff574642b.md), Opening Score (Council%2018/Council%20Period%2017/Opening%20Score%208ad2adbbf82a4ac3ba70db5ceee32977.md)",Forum Score (Council%2018/Council%20Period%2017/Forum%20Score%206aead5448246499b810ce83cb4e48075.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Builders,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,"WG Period Plan (Council%2018/Council%20Period%2017/WG%20Period%20Plan%202a43b025d9064886aa760d31184adb65.md), WG Summary (Council%2018/Council%20Period%2017/WG%20Summary%202694e5d44e814e0c8b00b8731a5518c5.md), WG Opportunities (Council%2018/Council%20Period%2017/WG%20Opportunities%209da227fd80ea4cec9e87d6465a7fd353.md), Opening Score (Council%2018/Council%20Period%2017/Opening%20Score%20462f6d7f744f418185a5d789419b48e9.md), Bounty Score (Council%2018/Council%20Period%2017/Bounty%20Score%20b679460d91a84f0ea61424387a375e12.md)",Builder Score (Council%2018/Council%20Period%2017/Builder%20Score%205db2bbce8e8c49938f93621da70e2208.md),"Composite Grade, General WG Score, Subscore",Not Completed
General WG Score,Forum,GENERAL_WG_SCORE,,,"WG Period Plan (Council%2018/Council%20Period%2017/WG%20Period%20Plan%20e5ee1a7971ab452a880b0b9ec575548c.md), WG Summary (Council%2018/Council%20Period%2017/WG%20Summary%207fa1c076a16f4ec59787ed0c5db71b1e.md), WG Opportunities (Council%2018/Council%20Period%2017/WG%20Opportunities%20d3e4ebb49f0b47cfb6e202e2b6be15af.md), Opening Score (Council%2018/Council%20Period%2017/Opening%20Score%20c0b192c95a55475487fe4d86b0cd61a5.md), Bounty Score (Council%2018/Council%20Period%2017/Bounty%20Score%208743d27e9e5d4e9fbd4f27e021eafc0b.md), WG Opportunities (Council%2018/Council%20Period%2017/WG%20Opportunities%20a907882f7d2f4eda9db7d47a67945a94.md), Bounty Score (Council%2018/Council%20Period%2017/Bounty%20Score%20556a5f1f89394e9b8a29ee9ff574642b.md), Opening Score (Council%2018/Council%20Period%2017/Opening%20Score%208ad2adbbf82a4ac3ba70db5ceee32977.md)",Forum Score (Council%2018/Council%20Period%2017/Forum%20Score%206aead5448246499b810ce83cb4e48075.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Distributors,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%2018/Council%20Period%2017/WG%20Period%20Plan%20821ac27656504fee92b641f1cf375bf8.md), WG Summary (Council%2018/Council%20Period%2017/WG%20Summary%20f618deca08b24156b3cebf5121865ce4.md), WG Opportunities (Council%2018/Council%20Period%2017/WG%20Opportunities%209763136eca9d4ebe895329419e3f3af1.md), Opening Score (Council%2018/Council%20Period%2017/Opening%20Score%206cb6c8e3be1849168f0a514a5bf6ef5b.md), Bounty Score (Council%2018/Council%20Period%2017/Bounty%20Score%20570bed37e59449179a43d591c170c469.md)",Distributor Score (Council%2018/Council%20Period%2017/Distributor%20Score%20d02db64e54e74be4b7666e61f57ecd03.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Content,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Opportunities (Council%2018/Council%20Period%2017/WG%20Opportunities%20db23ed9e48544622b22cc33d6fccfb61.md), WG Summary (Council%2018/Council%20Period%2017/WG%20Summary%209a7e1d5c88e7478494e495b14406dbb7.md), WG Period Plan (Council%2018/Council%20Period%2017/WG%20Period%20Plan%2037c8c83289cc494aa1831ce044ff01ce.md), Opening Score (Council%2018/Council%20Period%2017/Opening%20Score%2079613fcae8f4415984971834859f8852.md), Bounty Score (Council%2018/Council%20Period%2017/Bounty%20Score%20ecd7f8789dc04d34ac2a0ceeb092caec.md)",Content Score (Council%2018/Council%20Period%2017/Content%20Score%20845967896c6c4c588b7f6715c3503e2b.md),"Composite Grade, General WG Score",Not Completed
Council Period Plan,Council,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,,Network Performance Score (Council%2018/Council%20Period%2017/Network%20Performance%20Score%201d66bd415c70454692124761fee46347.md),"Document, Forum Post, Grade, Master Score, Proposal",Not Completed
WG Period Plan,Content,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2018/Council%20Period%2017/General%20WG%20Score%2056ddf72e66cf4735af0e4284c76a05d4.md),"Document, Forum Post, General WG Score, Plan, Proposal",Not Completed
WG Period Plan,Builders,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2018/Council%20Period%2017/General%20WG%20Score%207d1eca46d57c4e9b86b649ed8b72dd52.md),"Document, Forum Post, General WG Score, Grade, Plan, Proposal, Subscore",Not Completed
WG Period Plan,HR,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2018/Council%20Period%2017/General%20WG%20Score%20a2440aecb3aa4a5a8d10e20f0b5479e5.md),"Document, Forum Post, General WG Score, Plan, Proposal",Not Completed
WG Period Plan,Forum,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2018/Council%20Period%2017/General%20WG%20Score%20d5b39d06f8a141c5b0c9a76d50372425.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",Not Completed
