Title,Comment,Curator,Date,License,NFT,URL
,Video category is Science & Technology. I think it should be Howto & Style or Education,Songoku,"July 14, 2022",CC0,0,https://play.joystream.org/video/27032
,"Looks like Game intro from ""http://mavia.com/"" but i could not find the original video eighter on google video search and game page. maybe an old intro video.",@ferdikesh_studio,"July 15, 2022",CC0,0,https://play.joystream.org/video/27043
,"Video Link is broken, The same video with: https://play.joystream.org/video/27044",@ferdikesh_studio,"July 15, 2022",CC0,0,https://play.joystream.org/video/27042
,This video is originally made by the uploader. He submitted it to a previous crypto project but was deleted,Songoku,"July 14, 2022",CC0,1,https://play.joystream.org/video/27033
,This video is originally made by the uploader. He sent an unlisted youtube link where he saved this video.,Songoku,"July 14, 2022",CC0,1,https://play.joystream.org/video/27035
