Title,Category,Category id,Chanel name,Comment,Create,Curator,Date,Duration,Id,If the download speed is slow when viewed / in seconds.,Language,License,License code,Mark it [!] if video is good! (Interesting/Quality),NFT,Original License,Original Link,Owner,Size,URL,Update
Untitled51,Entertainment,10,ialmo.stgaveup,can't watch this video,"September 5, 2022 12:37 PM (GMT+1)",_e9orov_,"September 5, 2022",6,27450,,en,CC0,1002,,0,?,-,Counsellor,1057512,https://play.joystream.org/video/27450,"September 5, 2022 12:37 PM (GMT+1)"
Manta Network intro logo,Film & Animation,1,Content,,"September 4, 2022 6:30 PM (GMT+1)",Songoku,"September 4, 2022",5,27437,,en,CC0,1002,,0,original video for Joystream,-,igormig,5657309,https://play.joystream.org/video/27437,"September 4, 2022 6:30 PM (GMT+1)"
How to Create a Bounty,Science & Technology,14,MWG Official,,"September 4, 2022 3:38 AM (GMT+1)",Songoku,"September 4, 2022",117,27417,,en,CC0,1002,,0,original video for Joystream,-,MWG,104367221,https://play.joystream.org/video/27417,"September 4, 2022 3:38 AM (GMT+1)"
This is Test,Travel & Events,6,best of wyrdrender,Video doesn't open on several browsers.Streamer kindly informed.,"September 6, 2022 12:25 PM (GMT+1)",ferdikesh_studio,"September 7, 2022",162,27460,,en,CC0,1002,,0,-,,wyrdrender,7283229,https://play.joystream.org/video/27460,"September 6, 2022 12:25 PM (GMT+1)"
How DAO community will vote on proposals in Pioneer future?,Science & Technology,14,MWG Official,,"September 6, 2022 3:54 PM (GMT+1)",ferdikesh_studio,"September 7, 2022",119,27471,,en,CC0,1002,,0,original video for Joystream,-,MWG,74583729,https://play.joystream.org/video/27471,"September 6, 2022 3:54 PM (GMT+1)"
How to Check Remaining Budget of a WG at the End of Term,Howto & Style,12,Joystream Tutorials by Songoku,,"September 1, 2022 8:38 AM (GMT+1)",prontera,"September 6, 2022",115,27396,,en,CC0,1002,,0,original video for Joystream,-,songoku,14010161,https://play.joystream.org/video/27396,"September 1, 2022 8:38 AM (GMT+1)"
How Creator Tokens are bounded to content system?,Science & Technology,14,MWG Official,,"September 6, 2022 6:09 PM (GMT+1)",ferdikesh_studio,"September 7, 2022",118,27473,,en,CC0,1002,,0,original video for Joystream,-,MWG,72852563,https://play.joystream.org/video/27473,"September 6, 2022 6:09 PM (GMT+1)"
How to buy an NFT on Joystream Atlas,Science & Technology,14,MWG Official,,"September 4, 2022 3:49 AM (GMT+1)",Songoku,"September 4, 2022",100,27418,,en,CC0,1002,,0,original video for Joystream,-,MWG,30644030,https://play.joystream.org/video/27418,"September 4, 2022 3:49 AM (GMT+1)"
Arbitrum Nova Airdrop Пошаговое руководство,Education,13,Content,still confirming if the author is originator of video,"September 4, 2022 5:50 PM (GMT+1)",Songoku,"September 4, 2022",399,27431,,en,CC0,1002,,0,original video for Joystream,-,igormig,224964864,https://play.joystream.org/video/27431,"September 4, 2022 5:50 PM (GMT+1)"
5 good questions from Ömer ÖzdemirTR,Science & Technology,14,MWG Official,,"September 6, 2022 6:12 PM (GMT+1)",ferdikesh_studio,"September 7, 2022",453,27474,,en,CC0,1002,,0,original video for Joystream,-,MWG,509034978,https://play.joystream.org/video/27474,"September 6, 2022 6:12 PM (GMT+1)"
How to create proposal?,Education,13,MWG Official,,"August 25, 2022 1:50 AM (GMT+1)",,,103,27356,,en,CC0,1002,,0,,,MWG,15106535,https://play.joystream.org/video/27356,"August 25, 2022 1:50 AM (GMT+1)"
