Title,Category,Category id,Chanel name,Comment,Create,Curator,Date,Duration,Id,If the download speed is slow when viewed / in seconds.,Language,License,License code,Mark it [!] if video is good! (Interesting/Quality),NFT,Original License,Original Link,Owner,Size,URL,Update
Joystream intro,Film & Animation,1,test_hsn,,"August 10, 2022 11:37 AM (GMT+1)",prontera,"August 17, 2022",7,27291,,en,CC0,1002,,0,Original video,Original video for Joystream,tes_hsn,723172,https://play.joystream.org/video/27291,"August 10, 2022 11:37 AM (GMT+1)"
Че По Нодам #36 | Боли тестнетов и мейннетов | CryptoLodes.,Science & Technology,14,CryptoLodes.,,"August 10, 2022 9:03 PM (GMT+1)",prontera,"August 17, 2022",5404,27296,,ru,CC0,1002,,0,Original video,Original video for Joystream,cryptolodes,638928400,https://play.joystream.org/video/27296,"August 10, 2022 9:03 PM (GMT+1)"
讨厌旅行,Travel & Events,6,Draicx,,"March 28, 2022 3:32 PM (GMT+1)",skipper,"August 17, 2022",309,26155,,en,CC0,1002,,0,Creative Commons,https://www.youtube.com/watch?v=1sY_ZiyQND4,mmaxatt,96545372,https://play.joystream.org/video/26155,"March 28, 2022 3:32 PM (GMT+1)"
Joystream,Education,13,Content,,"August 14, 2022 6:23 PM (GMT+1)",ferdikesh_studio,"August 16, 2022",67,27315,,en,CC0,1002,,0,Original video,Original video for Joystream,igormig,10951019,https://play.joystream.org/video/27315,"August 14, 2022 6:23 PM (GMT+1)"
God of War 3 Remastered (PS5) - Gameplay Walkthrough Part 1,Entertainment,10,D.J.Games,,"August 11, 2022 11:32 PM (GMT+1)",prontera,"August 17, 2022",1912,27299,,en,CC0,1002,,0,Original license,https://www.youtube.com/watch?v=NqYHQqMgd4Q&ab_channel=Shirrako,arishem,517028532,https://play.joystream.org/video/27299,"August 11, 2022 11:32 PM (GMT+1)"
MTCG Ecosystem 001,Entertainment,10,InfiniteImaginarium,,"August 16, 2022 5:32 PM (GMT+1)",prontera,"August 17, 2022",3144,27323,,en,CC0,1002,,0,Original video,Original video for Joystream,infinteimaginarium,2115149493,https://play.joystream.org/video/27323,"August 16, 2022 5:32 PM (GMT+1)"
How to Mint your Joystream Video into an NFT,Science & Technology,14,MWG Official,,"August 2, 2022 5:07 PM (GMT+1)",prontera,"August 17, 2022",129,27254,,en,CC0,1002,,0,Original video,Original video for Joystream,MWG,78808091,https://play.joystream.org/video/27254,"August 2, 2022 5:07 PM (GMT+1)"
VID-20220815-WA0045,Film & Animation,1,Mayor's Tee,not work,"August 15, 2022 10:44 PM (GMT+1)",prontera,"August 17, 2022",10,27322,,en,CC0,1002,,27322,not work,not work,7185,8988373,https://play.joystream.org/video/27322,"August 15, 2022 10:44 PM (GMT+1)"
COLLECTING THINGS 🪙 IELTS Speaking Part 1 | Model Answers,Education,13,Success with IELTS,,"August 10, 2022 6:36 PM (GMT+1)",prontera,"August 17, 2022",911,27294,,en,CC0,1002,,0,Original video,Original video for Joystream,vaaanish,1173985699,https://play.joystream.org/video/27294,"August 10, 2022 6:36 PM (GMT+1)"
"Baby steps, making progress",Music,3,Eclipsing Binary,,"August 13, 2022 11:48 PM (GMT+1)",Songoku,"August 13, 2022",48,27306,,en,CC0,1002,,0,Original video,Original video for Joystream,eclipsingbinary,45186848,https://play.joystream.org/video/27306,"August 13, 2022 11:48 PM (GMT+1)"
Connext,Film & Animation,1,Content,,"August 14, 2022 5:36 PM (GMT+1)",ferdikesh_studio,"August 16, 2022",15,27312,,en,CC0,1002,,0,Original video,Original video for Joystream,igormig,2453029,https://play.joystream.org/video/27312,"August 14, 2022 5:36 PM (GMT+1)"
Moonbeam logo art,Entertainment,10,PrettyFreak,,"August 13, 2022 7:55 PM (GMT+1)",Songoku,"August 13, 2022",8,27303,,en,CC0,1002,,0,Original license,-,prettyfreak,5899910,https://play.joystream.org/video/27303,"August 13, 2022 7:55 PM (GMT+1)"
IMG5,People & Blogs,8,drog,,"August 10, 2022 7:02 PM (GMT+1)",prontera,"August 17, 2022",58,27295,,en,CC0,1002,,0,Original video,Original video for Joystream,droginfo,6502240,https://play.joystream.org/video/27295,"August 10, 2022 7:02 PM (GMT+1)"
How to Create a Proposal in Joystream Pioneer,Howto & Style,12,Joystream Tutorials by Songoku,,"August 17, 2022 3:17 AM (GMT+1)",skipper,"August 17, 2022",103,27324,,en,CC0,1002,,0,Original video,Original video for Joystream,songoku,15106535,https://play.joystream.org/video/27324,"August 17, 2022 3:17 AM (GMT+1)"
