Name,Member ID,Reward,Worker ID
yyagi (Deputy Lead),3098,8.0000 JOY,7
godshunter,1541,4.0000 JOY,5
alexznet,2574,4.0000 JOY,2
Craci_BwareLabs,3886,1.0000 JOY,9
razumv,1019,1.0000 JOY,10
l1dev,515,8.0000 JOY,4
maxlevush,2130,4.0000 JOY,3
joystreamstats,1305,4.0000 JOY,1
0x2bc,2098,18.0000 JOY,0
mmx1916,3085,4.0000 JOY,8
