Worker ID,Member ID,Name,Reward
10,1019,razumv,1.0000 JOY
9,3886,Craci_BwareLabs,1.0000 JOY
8,3085,mmx1916,4.0000 JOY
7,3098,yyagi (Deputy Lead),8.0000 JOY
5,1541,godshunter,4.0000 JOY
4,515,l1dev,8.0000 JOY
3,2130,maxlevush,4.0000 JOY
2,2574,alexznet,4.0000 JOY
1,1305,joystreamstats,4.0000 JOY
0,2098,0x2bc,18.0000 JOY
