workerId,worker_total
storageWorkingGroup-9,778680
storageWorkingGroup-13,778680
storageWorkingGroup-4,778680
storageWorkingGroup-8,778680
storageWorkingGroup-14,778680
storageWorkingGroup-0,2336040
storageWorkingGroup-7,1297800
storageWorkingGroup-15,778680
storageWorkingGroup-11,778680
storageWorkingGroup-2,778680
storageWorkingGroup-3,778680
storageWorkingGroup-5,778680
storageWorkingGroup-10,778680
storageWorkingGroup-1,129780
