"Objects size, MB",Bag ID,ObjectNumber,"Objects size, average, MB"
"214,8",2609,12,"17,9"
"0,0",2617,0,#DIV/0!
"0,0",2247,0,#DIV/0!
"19,3",2536,4,"4,8"
"0,1",2006,2,"0,0"
"6535,8",2118,42,"155,6"
"28,8",2369,6,"4,8"
"27,5",2114,4,"6,9"
"1,1",2501,4,"0,3"
"39,7",2336,6,"6,6"
"0,1",2005,2,"0,0"
"9654,5",2137,106,"91,1"
"6,3",2585,4,"1,6"
"9,7",2445,4,"2,4"
"1681,1",2246,4,"420,3"
"2,5",2467,8,"0,3"
"2211,2",2036,26,"85,0"
"0,1",2180,2,"0,1"
"7840,0",2298,17,"461,2"
"7,3",2571,4,"1,8"
"13,1",2280,2,"6,5"
"0,1",2013,2,"0,0"
"0,1",2188,2,"0,0"
"5724,6",2096,126,"45,4"
"40,4",2226,8,"5,1"
"7,6",2543,4,"1,9"
"0,0",2290,0,#DIV/0!
"9,0",2531,4,"2,3"
"1382,6",2110,40,"34,6"
"154,8",2221,6,"25,8"
"4714,5",2189,80,"58,9"
"190,0",2143,5,"38,0"
"158,0",2099,6,"26,3"
"24788,3",2148,60,"413,1"
"46,7",2514,4,"11,7"
"38,1",2599,4,"9,5"
"0,1",2286,2,"0,0"
"400,8",2172,23,"17,4"
"977,8",2113,11,"88,9"
"0,2",2018,2,"0,1"
"1749,2",2250,20,"87,5"
"4,9",2423,4,"1,2"
"443,3",2085,26,"17,1"
"7,4",2627,2,"3,7"
"2226,6",2081,41,"54,3"
"8,1",2518,6,"1,3"
"327,6",2053,22,"14,9"
"1213,4",2274,42,"28,9"
"2141,7",2202,68,"31,5"
"1611,9",2140,38,"42,4"
"3,9",2587,4,"1,0"
"23,6",2563,6,"3,9"
"13,5",2475,6,"2,3"
"40,4",2222,8,"5,1"
"22,6",2124,8,"2,8"
"188,0",2309,4,"47,0"
"5,0",2363,4,"1,3"
"39,7",2243,7,"5,7"
"1,9",2032,4,"0,5"
"8,8",2450,4,"2,2"
"4,3",2431,4,"1,1"
"0,0",2207,0,#DIV/0!
"0,0",2304,2,"0,0"
"9,5",2410,4,"2,4"
"0,0",2214,0,#DIV/0!
"45,8",2479,4,"11,4"
"5,8",2442,4,"1,4"
"3,7",2572,4,"0,9"
"39,7",2335,6,"6,6"
"0,2",2012,2,"0,1"
"5345,2",2097,83,"64,4"
"2259,1",2176,36,"62,8"
"307,8",2341,18,"17,1"
"0,1",2444,2,"0,0"
"12,0",2322,4,"3,0"
"6,3",2468,6,"1,1"
"5,8",2578,4,"1,4"
"103,3",2624,8,"12,9"
"0,0",2365,1,"0,0"
"10,2",2551,4,"2,6"
"1,0",2483,8,"0,1"
"0,0",2314,0,#DIV/0!
"543,5",2074,12,"45,3"
"427,3",2220,22,"19,4"
"15894,8",2158,274,"58,0"
