Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
General WG Score,Storage,GENERAL_WG_SCORE,,,"WG Summary (Council%2021/Council%20Period%2017/WG%20Summary%20bc99b33a488e400bb66567d61486d5e2.md), WG Period Plan (Council%2021/Council%20Period%2017/WG%20Period%20Plan%2018a8e17550534836b52da149a8c8d1b1.md), WG Opportunities (Council%2021/Council%20Period%2017/WG%20Opportunities%20daa9a8a11f3047f995df240dec3035d3.md), Opening Score (Council%2021/Council%20Period%2017/Opening%20Score%20b9589afb3e4a44efb89312e5cb5cd02f.md), Bounty Score (Council%2021/Council%20Period%2017/Bounty%20Score%20e7ac1735a95a4250a137b7986a0b3264.md)",Storage Score (Council%2021/Council%20Period%2017/Storage%20Score%20bd78402a34fc4e3aa16f90c56db64574.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Builders,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,"WG Period Plan (Council%2021/Council%20Period%2017/WG%20Period%20Plan%202334506a83064485b64fb5b1cfe330fe.md), WG Summary (Council%2021/Council%20Period%2017/WG%20Summary%20dccc644e813a4a41a75c01753004440f.md), WG Opportunities (Council%2021/Council%20Period%2017/WG%20Opportunities%20daa9a8a11f3047f995df240dec3035d3.md), Opening Score (Council%2021/Council%20Period%2017/Opening%20Score%206107e002ed5f4b5d8bb035f274349c14.md), Bounty Score (Council%2021/Council%20Period%2017/Bounty%20Score%201c229378f24e43b09de3b219428b9148.md)",Builder Score (Council%2021/Council%20Period%2017/Builder%20Score%20eb28116529474ccca2fe96572798b055.md),"Composite Grade, General WG Score, Subscore",Not Completed
General WG Score,HR,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%2021/Council%20Period%2017/WG%20Period%20Plan%205b1232c218124021aa9468e7d44c4489.md), WG Summary (Council%2021/Council%20Period%2017/WG%20Summary%208207cfcbc4e642a581f9a0385f473f65.md), WG Opportunities (Council%2021/Council%20Period%2017/WG%20Opportunities%20a1d6a9f6af7b4762a94f88d616ec6071.md), Opening Score (Council%2021/Council%20Period%2017/Opening%20Score%20f114c7ae08674e2cb5d339d4759dae1c.md), Bounty Score (Council%2021/Council%20Period%2017/Bounty%20Score%206cf1a2f3e9de47be8f516ea69c74309e.md)",HR Score (Council%2021/Council%20Period%2017/HR%20Score%207bb079bec3cf4e4ca334f51a99cf9951.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Distributors,GENERAL_WG_SCORE,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%2021/Council%20Period%2017/WG%20Period%20Plan%207bcca344f9044f62bd5641a82fa58e86.md), WG Summary (Council%2021/Council%20Period%2017/WG%20Summary%20a3705667c3774c7ea130196cd1a68107.md), WG Opportunities (Council%2021/Council%20Period%2017/WG%20Opportunities%20a87f5f46cf834a268aafd5d1516e0cbe.md), Opening Score (Council%2021/Council%20Period%2017/Opening%20Score%208e3b8556133d49928310c56fd35d35ec.md), Bounty Score (Council%2021/Council%20Period%2017/Bounty%20Score%20c87ae38f3bf441b2b33386aab547e183.md)",Distributor Score (Council%2021/Council%20Period%2017/Distributor%20Score%20440ac3bc6398466a8e120330b8b7a922.md),"Composite Grade, General WG Score",Not Completed
General WG Score,Forum,GENERAL_WG_SCORE,,,"WG Period Plan (Council%2021/Council%20Period%2017/WG%20Period%20Plan%2022b420f4fdd94776830a7825f872d58a.md), WG Summary (Council%2021/Council%20Period%2017/WG%20Summary%2088af113496a742b69de3c2a81c6b4359.md), WG Opportunities (Council%2021/Council%20Period%2017/WG%20Opportunities%2077e90e78ee75411f9a84f4f89e82796f.md), Opening Score (Council%2021/Council%20Period%2017/Opening%20Score%20ce4620cc9d1f49ba99098bf5da73d281.md), Bounty Score (Council%2021/Council%20Period%2017/Bounty%20Score%201cdf20e121f34a2087cb473719ff453e.md), WG Opportunities (Council%2021/Council%20Period%2017/WG%20Opportunities%208e96d4c17f124b2da33ec292bac2e83a.md), Bounty Score (Council%2021/Council%20Period%2017/Bounty%20Score%201065b2d81106491689e8a4555434f7ae.md), Opening Score (Council%2021/Council%20Period%2017/Opening%20Score%20632afc2194284364b719b08b70895784.md)",Forum Score (Council%2021/Council%20Period%2017/Forum%20Score%205545285c8b1340a1ab98db0a10c7f64a.md),"Composite Grade, General WG Score",Not Completed
WG Period Plan,Distributors,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%201b76731bdc864035b9d49b07fceb8d53.md),"Document, Forum Post, General WG Score, Grade, Proposal",Not Completed
Council Period Plan,Council,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,,Network Performance Score (Council%2021/Council%20Period%2017/Network%20Performance%20Score%202dcdb268a15b464cbbf7d75f1c9654e2.md),"Document, Forum Post, Grade, Master Score, Proposal",Not Completed
WG Period Plan,HR,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%20013008c6907b4c58b3b9535d85c996e2.md),"Document, Forum Post, General WG Score, Plan, Proposal",Not Completed
WG Period Plan,Forum,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%20b0a096bdbba349d48427527695e60405.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",Not Completed
WG Period Plan,Builders,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%200367cf77db8e49cb989f9438f02e0144.md),"Document, Forum Post, General WG Score, Grade, Plan, Proposal, Subscore",Not Completed
WG Period Plan,Marketing,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%20cee0cc643d944d34a7d45a3beede7b8e.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",Not Completed
WG Period Plan,Storage,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%208a927a87b3f849028adecd73009fa7f9.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",Not Completed
WG Period Plan,Content,PLAN_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%2035a1074b057446808308068488d0b999.md),"Document, Forum Post, General WG Score, Plan, Proposal",Not Completed
WG Summary,Content,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%2035a1074b057446808308068488d0b999.md),"Document, Forum Post, General WG Score, Grade, Subscore, Summary",Not Completed
WG Summary,Forum,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,"General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%20b0a096bdbba349d48427527695e60405.md), General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%20cee0cc643d944d34a7d45a3beede7b8e.md)","Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",Not Completed
WG Summary,Distributors,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%201b76731bdc864035b9d49b07fceb8d53.md),"Document, Forum Post, General WG Score, Grade, Subscore, Summary",Not Completed
Council Period Summary,Council,SUMMARY_SCORE,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#council-period-summary,,Network Performance Score (Council%2021/Council%20Period%2017/Network%20Performance%20Score%202dcdb268a15b464cbbf7d75f1c9654e2.md),"Document, Forum Post, Grade, Master Score, Proposal",Not Completed
WG Summary,Marketing,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%20cee0cc643d944d34a7d45a3beede7b8e.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",Not Completed
WG Summary,Builders,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%200367cf77db8e49cb989f9438f02e0144.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",Not Completed
WG Summary,HR,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%20013008c6907b4c58b3b9535d85c996e2.md),"Document, Forum Post, General WG Score, Grade, Proposal, Summary",Not Completed
WG Summary,Storage,SUMMARY_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%208a927a87b3f849028adecd73009fa7f9.md),"Document, Forum Post, General WG Score, Grade, Subscore",Not Completed
Lead Opportunities,Council,LEAD_OPPORTUNITIES_SCORE,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#lead-opportunities,,Network Performance Score (Council%2021/Council%20Period%2017/Network%20Performance%20Score%202dcdb268a15b464cbbf7d75f1c9654e2.md),"Grade, Master Score",Not Completed
