"Objects size, MB",Bag ID,ObjectNumber,"Objects size, average, MB"
"0,0",2349,2,"0,0"
"28,8",2369,6,"4,8"
"809,3",2119,37,"21,9"
"788,7",2192,8,"98,6"
"0,0",2365,1,"0,0"
"0,0",2632,0,#DIV/0!
"0,0",2288,0,#DIV/0!
"8327,4",2077,87,"95,7"
"6,8",2376,4,"1,7"
"1,2",2476,4,"0,3"
"39,7",2337,6,"6,6"
"7,8",2488,4,"1,9"
"790,7",2264,20,"39,5"
"38,1",2599,4,"9,5"
"4972,8",2108,43,"115,6"
"2,3",2464,4,"0,6"
"0,1",2188,2,"0,0"
"1611,9",2140,38,"42,4"
"0,1",2003,2,"0,1"
"11,8",2491,4,"2,9"
"1382,6",2110,40,"34,6"
"6971,6",2138,13,"536,3"
"0,1",2017,2,"0,1"
"14,5",2473,4,"3,6"
"5,6",2239,2,"2,8"
"490,3",2217,8,"61,3"
"3,2",2441,2,"1,6"
"6,3",2598,4,"1,6"
"3,1",2373,6,"0,5"
"207,3",2120,6,"34,5"
"1010,2",2131,8,"126,3"
"0,0",2204,0,#DIV/0!
"1,1",2501,4,"0,3"
"8,5",2449,4,"2,1"
"9,9",2470,4,"2,5"
"26,7",2490,4,"6,7"
"5,5",2276,2,"2,7"
"989,0",2121,15,"65,9"
"9,6",2406,4,"2,4"
"3,2",2513,4,"0,8"
"3,1",2565,8,"0,4"
"4020,3",2059,34,"118,2"
"0,1",2007,2,"0,0"
"1,1",2346,4,"0,3"
"6912,9",2181,80,"86,4"
"7,9",2508,4,"2,0"
"5404,2",2029,26,"207,9"
"0,0",2613,0,#DIV/0!
"1647,4",2234,6,"274,6"
"0,2",2018,2,"0,1"
"8,8",2450,4,"2,2"
"21,1",2378,4,"5,3"
"5,2",2354,4,"1,3"
"2,3",2393,4,"0,6"
"8,1",2605,4,"2,0"
"1,3",2502,6,"0,2"
"174,3",2619,2,"87,1"
"443,3",2085,26,"17,1"
"73,4",2150,11,"6,7"
"25,5",2311,6,"4,2"
"39,7",2243,7,"5,7"
"0,0",2205,0,#DIV/0!
"22,0",2582,4,"5,5"
"552,1",2328,32,"17,3"
"0,0",2290,0,#DIV/0!
"0,0",2566,2,"0,0"
"9,2",2385,4,"2,3"
"17084,5",2001,142,"120,3"
"400,8",2172,23,"17,4"
"5724,6",2096,126,"45,4"
"4,5",2375,4,"1,1"
"2,6",2429,4,"0,7"
"59,8",2167,4,"14,9"
"11,7",2024,6,"2,0"
"5469,0",2156,18,"303,8"
"5,3",2542,4,"1,3"
"503,8",2259,9,"56,0"
"0,0",2601,2,"0,0"
"24788,3",2148,60,"413,1"
"2,7",2405,4,"0,7"
"790,7",2147,24,"32,9"
"43,5",2570,4,"10,9"
"1,7",2575,4,"0,4"
"327,6",2053,22,"14,9"
"8,5",2437,4,"2,1"
"22,9",2327,4,"5,7"
"3718,4",2225,12,"309,9"
"230,5",2038,6,"38,4"
"0,0",2262,2,"0,0"
"214,8",2609,12,"17,9"
"85,2",2174,4,"21,3"
"7,2",2433,4,"1,8"
"4587,8",2084,92,"49,9"
"2817,0",2115,10,"281,7"
"291,0",2230,44,"6,6"
"3,2",2523,6,"0,5"
"48,7",2630,4,"12,2"
"3011,2",2275,4,"752,8"
"169,4",2227,28,"6,1"
"7513,8",2104,112,"67,1"
"2923,9",2249,80,"36,5"
"3,7",2572,4,"0,9"
"10,0",2251,2,"5,0"
"280,4",2258,12,"23,4"
"13,2",2633,2,"6,6"
"0,0",2215,0,#DIV/0!
"8659,4",2168,10,"865,9"
"490,1",2317,4,"122,5"
"10,8",2626,8,"1,3"
"13,2",2534,6,"2,2"
"0,1",2014,2,"0,1"
"271,7",2183,7,"38,8"
"157,9",2277,22,"7,2"
"4,5",2545,4,"1,1"
"3,7",2495,4,"0,9"
"46,3",2499,6,"7,7"
"0,0",2635,0,#DIV/0!
"1706,6",2093,16,"106,7"
"162,3",2041,4,"40,6"
"2226,6",2081,41,"54,3"
"9,5",2410,4,"2,4"
"30,5",2579,4,"7,6"
"10,0",2397,4,"2,5"
"13,1",2280,2,"6,5"
"26,5",2229,4,"6,6"
"27,7",2621,4,"6,9"
"7,6",2457,4,"1,9"
"0,9",2588,4,"0,2"
"1228,5",2040,4,"307,1"
"163,1",2607,2,"81,5"
"0,0",2622,2,"0,0"
