"syze, Mbytes",bucket,createdAt,id,"syze, bytes"
"59,1",2604,22.06.2022,14705,61940542
"41,4",2604,22.06.2022,14719,43441776
"35,8",2604,22.06.2022,14731,37539847
"0,0",2604,22.06.2022,14710,10558
"66,5",2604,22.06.2022,14713,69776227
"0,0",2604,22.06.2022,14734,12754
"28,3",2196,26.06.2022,14777,29647288
