Workers,Communication,Ehtical Conduct,Leadership,Motivation,Support
4,4,4,4,4,4
3,2,4,3,3,4
1,4,4,4,4,4
5,4,4,4,4,4
2,4,4,4,3,4
6,4,4,4,4,4
7,4,4,4,4,4
8,3,4,4,4,4
9,4,4,4,4,4
