Topic,Date,Title,Assigned,Status,URL,Related to JS DAO Workers sheet (Tasks),Related to JS DAO Workers sheet (Tasks) 1
Workflows,31/03/2023,Development Teams,,Approved,https://pioneerapp.xyz/#/proposals/preview/222,,
Channels,30/01/2023,Review #Council-Handover Channel,,Implemented,https://pioneerapp.xyz/#/proposals/preview/103,,
Forum,30/01/2023,Create Main Category For Validators,,Implemented,https://pioneerapp.xyz/#/proposals/preview/104,,
Channels,30/01/2023,Assign Correct Discord Role To WG Leads,,Approved,https://pioneerapp.xyz/#/proposals/preview/102,,
HR,29/04/2023,Compensation Plan,,Failed,https://pioneerapp.xyz/#/proposals/preview/283,,
Dev,28/04/2023,Introduce JOY Sending Discord Bot,Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21),Approved,https://pioneerapp.xyz/#/proposals/preview/282,Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21),Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21)
Events,28/03/2023,Joystream Hackathon,,Failed,https://pioneerapp.xyz/#/proposals/preview/220,,
Plans,28/02/2023,Gateway's Development Roadmap Required,,Failed,https://pioneerapp.xyz/#/proposals/preview/165,,
Plans,28/02/2023,Gateways' Development Roadmaps Required,,Failed,https://pioneerapp.xyz/#/proposals/preview/166,,
HR,28/01/2023,UPDATE ON WG LEADS SALARIES,,Failed,https://pioneerapp.xyz/#/proposals/preview/98,,
HR,28/01/2023,Forum Lead Salary,,Failed,https://pioneerapp.xyz/#/proposals/preview/95,,
Channels,27/04/2023,Rename Joystream TG Community,,Implemented,https://pioneerapp.xyz/#/proposals/preview/281,,
Channels,27/03/2023,Verification Of JSG-Related Accounts,,Approved,https://pioneerapp.xyz/#/proposals/preview/219,,
Plans,27/02/2023,Council Plan For 5th Term,,Approved,https://pioneerapp.xyz/#/proposals/preview/159,,
Workflows,27/02/2023,New Council Term Plan Template,,Approved,https://pioneerapp.xyz/#/proposals/preview/158,,
Workflows,27/02/2023,New Council Term Report Template,,Approved,https://pioneerapp.xyz/#/proposals/preview/157,,
Plans,27/02/2023,Get More Info On JSG And Gateways Plans,,Failed,https://pioneerapp.xyz/#/proposals/preview/160,,
Workflows,26/05/2023,Handover Meeting Flow,jen (https://www.notion.so/jen-f3363d362cf0408ea54b84cc2d6671d2?pvs=21),Approved,https://pioneerapp.xyz/#/proposals/preview/331,jen (https://www.notion.so/jen-ec8aebfd43134ad69d5deeb8c660d97e?pvs=21),Untitled (https://www.notion.so/7986a3d88fe646a685368d1575c0d2dd?pvs=21)
Events,26/04/2023,Weekly Discord Quiz,,Implemented,https://pioneerapp.xyz/#/proposals/preview/278,,
Plans,26/03/2023,OKRs For Q2 2023,,Approved,https://pioneerapp.xyz/#/proposals/preview/216,,
Events,25/04/2023,Contest For Finding Best Title & Logo,,Implemented,https://pioneerapp.xyz/#/proposals/preview/275,,
Channels,25/04/2023,Add Combot To Telegram Chat,,Approved,https://pioneerapp.xyz/#/proposals/preview/276,,
Channels,25/01/2023,New Discord Channel,,Approved,https://pioneerapp.xyz/#/proposals/preview/91,,
Channels,25/01/2023,ADMIN/EDITOR RIGHTS,,Approved,https://pioneerapp.xyz/#/proposals/preview/90,,
Events,25/01/2023,Joy Allocations For Crew3,,Failed,https://pioneerapp.xyz/#/proposals/preview/92,,
Dev,25/01/2023,Devise content rewards policy,,Implemented,https://pioneerapp.xyz/#/proposals/preview/87,,
Dev,25/01/2023,Pioneer Product Priorities Mid Term,Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21),Approved,https://pioneerapp.xyz/#/proposals/preview/86,Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21),Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21)
Events,24/03/2023,Joystream Hackathon,,Failed,https://pioneerapp.xyz/#/proposals/preview/215,,
Content,24/02/2023,Content Rewards Policy,,Failed,https://pioneerapp.xyz/#/proposals/preview/154,,
HR,24/02/2023,Certificate Of Employment,,Failed,https://pioneerapp.xyz/#/proposals/preview/156,,
Workflows,24/01/2023,Reporting Cycle,,Approved,https://pioneerapp.xyz/#/proposals/preview/83,,
Workflows,24/01/2023,Council Term Report Template,,Approved,https://pioneerapp.xyz/#/proposals/preview/82,,
Workflows,24/01/2023,Council Term Plan Template,,Approved,https://pioneerapp.xyz/#/proposals/preview/84,,
HR,23/5/2023,SWG/DWG Server Costs Compensation Plan,,Deciding,https://pioneerapp.xyz/#/proposals/preview/326,,
Content,23/5/2023,Content Incentives Bulk Payouts,Igrex (https://www.notion.so/Igrex-c7c2983f450646729ce1c76265f87f72?pvs=21),Deciding,https://pioneerapp.xyz/#/proposals/preview/325,Igrex (https://www.notion.so/Igrex-99fb09a41cf443d78daf61b33ae4e45e?pvs=21),Untitled (https://www.notion.so/21e72bac733844a09e1d4a6532656560?pvs=21)
HR,23/02/2023,Slow Down On Hiring New Personnel,,Failed,https://pioneerapp.xyz/#/proposals/preview/152,,
Workflows,23/02/2023,New Council Term Report Template,,Failed,https://pioneerapp.xyz/#/proposals/preview/151,,
Workflows,23/02/2023,New Council Term Plan Template,,Failed,https://pioneerapp.xyz/#/proposals/preview/150,,
Channels,23/02/2023,#Membership Channel On Discord,,Approved,https://pioneerapp.xyz/#/proposals/preview/149,,
Events,23/01/2023,JoystreamDAO Twitter Scheduled Posts,leet_joy (https://www.notion.so/leet_joy-5e0e33e7d1c14146b180ac0d8adc555a?pvs=21),Approved,https://pioneerapp.xyz/#/proposals/preview/81,leet_joy (https://www.notion.so/leet_joy-eb0b2c3b4b3f4d95b1a088c5c1695eae?pvs=21),Untitled (https://www.notion.so/537be8447de74f7698044e5dce4f2eef?pvs=21)
Plans,22/03/2023,Council Plan Term 7,,Implemented,https://pioneerapp.xyz/#/proposals/preview/207,,
Dev,22/03/2023,Update Joystream CLI,Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21),Approved,https://pioneerapp.xyz/#/proposals/preview/206,Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21),Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21)
Content,22/02/2023,Content Rewards Policy,,Failed,https://pioneerapp.xyz/#/proposals/preview/1488,,
Workflows,21/01/2023,WG Term Report Template,,Approved,https://pioneerapp.xyz/#/proposals/preview/70,,
Channels,19/03/2023,Discord Channel For Official Links,,Failed,https://pioneerapp.xyz/#/proposals/preview/203,,
Workflows,19/02/2023,Council Election Process Breakdown,,Failed,https://pioneerapp.xyz/#/proposals/preview/145,,
Plans,19/02/2023,Council Plan For 5th Term,,Failed,https://pioneerapp.xyz/#/proposals/preview/143,,
HR,18/02/2023,Implement Council Candidacy Interview,,Failed,https://pioneerapp.xyz/#/proposals/preview/140,,
Channels,18/02/2023,#Verification - READ-ONLY CHANNEL,,Approved,https://pioneerapp.xyz/#/proposals/preview/138,,
HR,16/03/2023,Certificate Of Participation,,Failed,https://pioneerapp.xyz/#/proposals/preview/198,,
HR,16/03/2023,Certificate Of Participation,,Failed,https://pioneerapp.xyz/#/proposals/preview/196,,
Workflows,16/03/2023,Mandatory Handover/Retro Meeting,,Approved,https://pioneerapp.xyz/#/proposals/preview/197,,
Workflows,15/02/2023,Change In Reporting Cycle,,Approved,https://pioneerapp.xyz/#/proposals/preview/132,,
HR,15/02/2023,Lead Bonuses And WGs KPIs,,Failed,https://pioneerapp.xyz/#/proposals/preview/131,,
Plans,15/01/2023,Exchange Research,,Approved,https://pioneerapp.xyz/#/proposals/preview/52,,
Content,14/02/2023,Content Rewards Policy,,Failed,https://pioneerapp.xyz/#/proposals/preview/130,,
Workflows,14/01/2023,Storage WG Report Submission Format,,Failed,https://pioneerapp.xyz/#/proposals/preview/51,,
Workflows,14/01/2023,Rewards Carthage/Rhodes,,Failed,https://pioneerapp.xyz/#/proposals/preview/46,,
Channels,13/05/2023,Add Joyspace Logo Channel In Discord,,Failed,https://pioneerapp.xyz/#/proposals/preview/308,,
Workflows,13/05/2023,Handover/Retro Meeting Fixed Schedule,,Failed,https://pioneerapp.xyz/#/proposals/preview/309,,
Dev,13/04/2023,Ledger Plugin Development,Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21),Approved,https://pioneerapp.xyz/#/proposals/preview/259,Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21),Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21)
"HR, Workflows",13/02/2023,Lead Bonuses And WGs KPIs,,Failed,https://pioneerapp.xyz/#/proposals/preview/127,,
Workflows,13/01/2023,WGs Plan Template,,Approved,https://pioneerapp.xyz/#/proposals/preview/45,,
Channels,11/04/2023,Create #Links Channel In Discord Server,,Implemented,https://pioneerapp.xyz/#/proposals/preview/250,,
Workflows,11/04/2023,Meeting Notes Template,,Approved,https://pioneerapp.xyz/#/proposals/preview/249,,
Content,11/03/2023,Content Rewards Policy,Igrex (https://www.notion.so/Igrex-c7c2983f450646729ce1c76265f87f72?pvs=21),Approved,https://pioneerapp.xyz/#/proposals/preview/191,Igrex (https://www.notion.so/Igrex-99fb09a41cf443d78daf61b33ae4e45e?pvs=21),Untitled (https://www.notion.so/21e72bac733844a09e1d4a6532656560?pvs=21)
Workflows,10/04/2023,Add OKR Table To The Working Group Plan,,Approved,https://pioneerapp.xyz/#/proposals/preview/242,,
Forum,10/03/2023,Make Council Feedback Category On Forum,,Failed,https://pioneerapp.xyz/#/proposals/preview/190,,
Workflows,10/01/2023,Working Groups Summary Template,,Failed,https://pioneerapp.xyz/#/proposals/preview/38,,
Workflows,10/01/2023,FWG Plan Template,,Failed,https://pioneerapp.xyz/#/proposals/preview/37,,
Workflows,09/03/2023,OKR Process,,Failed,https://pioneerapp.xyz/#/proposals/preview/189,,
Chain,08/01/2023,Progress To Liberated Stage,,Implemented,https://pioneerapp.xyz/#/proposals/preview/33,,
"Channels, Dev",08/01/2023,Activate Joystream Discord Bots,Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21),Approved,https://pioneerapp.xyz/#/proposals/preview/34,Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21),Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21)
Plans,07/05/2023,Approve Council Plan #10,,Failed,https://pioneerapp.xyz/#/proposals/preview/301,,
"Channels, Dev",07/04/2023,Create Games & Quiz Channel And Add Bot,,Implemented,https://pioneerapp.xyz/#/proposals/preview/241,,
Plans,07/04/2023,Council Term 8 Plan,,Implemented,https://pioneerapp.xyz/#/proposals/preview/240,,
Workflows,07/03/2023,Training: Making Effective Proposals,,Approved,https://pioneerapp.xyz/#/proposals/preview/184,,
Channels,07/03/2023,Request: Closure Of #Faucet Discord Chan,,Implemented,https://pioneerapp.xyz/#/proposals/preview/183,,
