Title,Assigned,Date,Related to JS DAO Workers sheet (Tasks),Related to JS DAO Workers sheet (Tasks) 1,Status,Topic,URL
Forum New Categories,,05/01/2023,,,Approved,Forum,https://pioneerapp.xyz/#/proposals/preview/27
Council Access To #Announcements Channel,,04/01/2023,,,Approved,Channels,https://pioneerapp.xyz/#/proposals/preview/17
Activate Joystream Discord Bots,Chaos77 (https://www.notion.so/Chaos77-025b81b4343a482b9e19ca4dedb30b67?pvs=21),08/01/2023,Chaos77 (https://www.notion.so/Chaos77-dab438d3588a46c4a5d6aa4aebf52dae?pvs=21),Untitled (https://www.notion.so/4206aa670028485aaf6a67f26d59d503?pvs=21),Approved,"Channels, Dev",https://pioneerapp.xyz/#/proposals/preview/34
FWG Plan Template,,10/01/2023,,,Failed,Workflows,https://pioneerapp.xyz/#/proposals/preview/37
Progress To Liberated Stage,,08/01/2023,,,Implemented,Chain,https://pioneerapp.xyz/#/proposals/preview/33
Working Groups Summary Template,,10/01/2023,,,Failed,Workflows,https://pioneerapp.xyz/#/proposals/preview/38
Storage WG Report Submission Format,,14/01/2023,,,Failed,Workflows,https://pioneerapp.xyz/#/proposals/preview/51
Exchange Research,,15/01/2023,,,Approved,Plans,https://pioneerapp.xyz/#/proposals/preview/52
WGs Plan Template,,13/01/2023,,,Approved,Workflows,https://pioneerapp.xyz/#/proposals/preview/45
Rewards Carthage/Rhodes,,14/01/2023,,,Failed,Workflows,https://pioneerapp.xyz/#/proposals/preview/46
WG Term Report Template,,21/01/2023,,,Approved,Workflows,https://pioneerapp.xyz/#/proposals/preview/70
Council Term Report Template,,24/01/2023,,,Approved,Workflows,https://pioneerapp.xyz/#/proposals/preview/82
JoystreamDAO Twitter Scheduled Posts,leet_joy (https://www.notion.so/leet_joy-5e0e33e7d1c14146b180ac0d8adc555a?pvs=21),23/01/2023,leet_joy (https://www.notion.so/leet_joy-eb0b2c3b4b3f4d95b1a088c5c1695eae?pvs=21),Untitled (https://www.notion.so/537be8447de74f7698044e5dce4f2eef?pvs=21),Approved,Events,https://pioneerapp.xyz/#/proposals/preview/81
