Task name,Assignee,Due,GitHub Pull Requests,Governance Status,Parent-task,Priority,Project,Sprint,Status,Sub-tasks,Summary,Tags,Task ID,URL
Design 30 ambassador avatars,,"April 22, 2024",,Not started,,Medium,"Ambassador Porgam v2 launch (Ambassador%20Porgam%20v2%20launch%20368b61db2e664c9c922add434456e4b1.md), Ambassador Program Phase 2 (Ambassador%20Program%20Phase%202%20aec1ba34110441ed86f7b053b4da2d81.md)",,Done,,e9orov assigned for this task,"ambassadors, creative, illustrations",GEN-120,
Announce Ambassador Program Phase 2,,,,Not started,,,Ambassador Porgam v2 launch (Ambassador%20Porgam%20v2%20launch%20368b61db2e664c9c922add434456e4b1.md),,Done,,,,GEN-37,
Promote the program,,,,Not started,,,Ambassador Porgam v2 launch (Ambassador%20Porgam%20v2%20launch%20368b61db2e664c9c922add434456e4b1.md),,Done,,,,GEN-70,
Onboard 50 ambassadors,,,,Not started,,,Ambassador Porgam v2 launch (Ambassador%20Porgam%20v2%20launch%20368b61db2e664c9c922add434456e4b1.md),,In progress,,,,GEN-71,
