"Objects size, MB",Bag ID,ObjectNumber,"Objects size, average, MB"
"66,1",2638,4,"16,5"
"4,4",2486,4,"1,1"
"8454,7",2062,164,"51,6"
"11,2",2491,4,"2,8"
"3174,0",2037,40,"79,3"
"38,5",2641,6,"6,4"
"10,9",2400,4,"2,7"
"0,9",2588,4,"0,2"
"8980,2",2101,170,"52,8"
"50,5",2193,9,"5,6"
"0,0",2611,0,#DIV/0!
"1,1",2078,6,"0,2"
"4,1",2595,4,"1,0"
"70,0",2150,11,"6,4"
"0,0",2004,2,"0,0"
"7,8",2387,3,"2,6"
"8,1",2437,4,"2,0"
"3717,6",2046,54,"68,8"
"422,8",2085,26,"16,3"
"176,4",2602,22,"8,0"
"16804,7",2159,302,"55,6"
"14587,6",2289,36,"405,2"
"6,2",2399,4,"1,5"
"7,1",2627,2,"3,5"
"7,3",2457,4,"1,8"
"0,0",2649,0,#DIV/0!
"0,8",2594,4,"0,2"
"0,0",2293,2,"0,0"
"3,0",2565,8,"0,4"
"27241,0",2310,70,"389,2"
"26,7",2209,4,"6,7"
"0,1",2011,2,"0,0"
"12,6",2634,2,"6,3"
"1,0",2501,4,"0,3"
"0,0",2207,0,#DIV/0!
"1357,7",2054,16,"84,9"
"4140,1",2160,250,"16,6"
"3709,3",2171,44,"84,3"
"14,7",2411,4,"3,7"
"231,4",2273,8,"28,9"
"425,6",2122,4,"106,4"
"2294,8",2145,94,"24,4"
"8,2",2544,4,"2,1"
"0,0",2349,2,"0,0"
