id,createdAt,"size, bytes","size, MB",storageBagId
14871,06.07.2022,3373945809,"3217,65",2310
14873,07.07.2022,18937174,"18,06",2604
14879,07.07.2022,16344153,"15,59",2604
14880,07.07.2022,6298,"0,01",2604
14882,07.07.2022,6308,"0,01",2604
14891,07.07.2022,122011088,"116,36",2604
14892,07.07.2022,13254,"0,01",2604
14896,07.07.2022,13622,"0,01",2604
14907,07.07.2022,30790234,"29,36",2604
14908,07.07.2022,12764,"0,01",2604
14905,07.07.2022,30790234,"29,36",2604
14920,08.07.2022,12568,"0,01",2604
14941,09.07.2022,40668,"0,04",2198
14923,08.07.2022,2848208,"2,72",2239
14924,08.07.2022,18394,"0,02",2239
14925,08.07.2022,2848208,"2,72",2239
14937,09.07.2022,10644,"0,01",2639
14939,09.07.2022,40668,"0,04",2198
14943,09.07.2022,13428,"0,01",2604
14966,12.07.2022,24391109,"23,26",2604
