ID,dataObjectsSizeLimit,dataObjectsCount,bags,"Utilization, %","dataObjectsSize, GB",Property
0,2000000000000,40,1,0%,0,
1,2000000000000,14887,646,46%,847,
2,1400000000000,14887,646,65%,847,
3,1400000000000,14887,646,65%,847,
4,2000000000000,14852,634,45%,846,
6,2000000000000,14887,646,46%,847,
8,1500000000000,14887,646,61%,847,
9,1000000000000,12,1,0%,2,
10,1500000000000,2,1,0%,0,
11,1500000000000,2,1,0%,0,
12,1500000000000,0,0,0%,0,
13,1500000000000,2,1,0%,0,
14,1500000000000,2,1,0%,0,
15,1500000000000,0,0,0%,0,
