Bag ID,ObjectNumber,"Objects size, MB","Objects size, average, MB"
2203,124,"793,3","6,4"
2204,0,"0,0",#DIV/0!
2205,0,"0,0",#DIV/0!
2206,168,"11314,3","67,3"
2207,0,"0,0",#DIV/0!
2208,22,"437,9","19,9"
2209,4,"26,7","6,7"
2210,14,"3809,8","272,1"
2211,1,"0,0","0,0"
2212,6,"63,7","10,6"
2213,5,"13,4","2,7"
2214,0,"0,0",#DIV/0!
2215,0,"0,0",#DIV/0!
2216,2,"6,9","3,5"
2217,8,"467,5","58,4"
2218,2,"0,1","0,1"
2219,4,"870,0","217,5"
2220,22,"407,5","18,5"
2221,6,"147,6","24,6"
2222,8,"38,5","4,8"
2223,10,"51,1","5,1"
2224,22,"132,5","6,0"
2225,12,"3546,2","295,5"
2226,8,"38,5","4,8"
2227,28,"161,6","5,8"
2228,2,"12,6","6,3"
2229,4,"25,2","6,3"
2230,44,"277,5","6,3"
2231,2,"0,0","0,0"
2232,3,"0,1","0,0"
2233,12,"449,0","37,4"
2234,6,"1571,1","261,9"
2235,0,"0,0",#DIV/0!
2236,82,"641,5","7,8"
2237,2,"0,0","0,0"
2238,1,"0,0","0,0"
2239,2,"5,4","2,7"
2240,4,"80,4","20,1"
2241,2,"143,2","71,6"
2242,2,"0,0","0,0"
2243,7,"37,9","5,4"
2244,10,"63,1","6,3"
2245,60,"1878,7","31,3"
2246,4,"1603,3","400,8"
2247,0,"0,0",#DIV/0!
2248,20,"499,7","25,0"
2249,80,"2788,4","34,9"
2250,20,"1668,2","83,4"
2251,2,"9,5","4,8"
2252,0,"0,0",#DIV/0!
2253,0,"0,0",#DIV/0!
2254,42,"766,8","18,3"
2255,4,"25,2","6,3"
2256,0,"0,0",#DIV/0!
2257,20,"223,8","11,2"
2258,12,"267,4","22,3"
2259,9,"480,4","53,4"
2260,4,"159,1","39,8"
2261,2,"0,0","0,0"
2262,2,"0,0","0,0"
2263,20,"1085,3","54,3"
2264,20,"754,1","37,7"
2265,12,"75,7","6,3"
2266,2,"129,0","64,5"
2267,2,"58,0","29,0"
2268,0,"0,0",#DIV/0!
2269,60,"4492,1","74,9"
2270,0,"0,0",#DIV/0!
2271,60,"3495,1","58,3"
2272,2,"0,0","0,0"
2273,8,"231,4","28,9"
2274,42,"1157,2","27,6"
2275,4,"2871,7","717,9"
2276,2,"5,2","2,6"
2277,22,"150,6","6,8"
2278,2,"206,5","103,2"
2279,4,"9,5","2,4"
2280,2,"12,5","6,2"
2281,0,"0,0",#DIV/0!
2282,22,"151,8","6,9"
2283,4,"283,8","71,0"
2284,2,"0,0","0,0"
2285,2,"0,0","0,0"
2286,2,"0,1","0,0"
2287,10,"2659,1","265,9"
2288,0,"0,0",#DIV/0!
2289,36,"14587,6","405,2"
2290,0,"0,0",#DIV/0!
2291,1,"0,0","0,0"
2292,3,"0,6","0,2"
2293,2,"0,0","0,0"
2294,3,"180,8","60,3"
2295,5,"32,7","6,5"
2296,2,"14,1","7,0"
2297,3,"5,8","1,9"
2298,23,"10754,8","467,6"
2299,3,"2,2","0,7"
2300,4,"18,6","4,7"
2301,2,"276,5","138,2"
2302,6,"22,8","3,8"
2303,3,"13,0","4,3"
2304,2,"0,0","0,0"
2305,2,"0,0","0,0"
2306,2,"0,3","0,1"
2307,2,"0,1","0,0"
2308,8,"38,3","4,8"
2309,4,"179,3","44,8"
2310,58,"15290,2","263,6"
2311,6,"24,3","4,0"
2312,2,"235,0","117,5"
2313,12,"262,1","21,8"
2314,0,"0,0",#DIV/0!
2315,4,"1148,3","287,1"
2316,3,"154,6","51,5"
2317,4,"467,4","116,9"
2318,30,"2888,1","96,3"
2319,4,"8,2","2,1"
2320,20,"1631,0","81,6"
2321,4,"10,5","2,6"
2322,4,"11,5","2,9"
2323,12,"452,1","37,7"
2324,28,"8678,5","309,9"
2325,4,"13,8","3,5"
2326,0,"0,0",#DIV/0!
2327,4,"21,8","5,5"
2328,32,"526,5","16,5"
2329,2,"0,1","0,0"
2330,4,"75,8","18,9"
2331,2,"0,4","0,2"
2332,6,"37,8","6,3"
2333,40,"252,3","6,3"
2334,6,"37,8","6,3"
2335,6,"37,8","6,3"
2336,6,"37,8","6,3"
2337,6,"37,8","6,3"
2338,6,"37,8","6,3"
2339,6,"37,8","6,3"
2340,2,"0,1","0,0"
2341,18,"293,6","16,3"
2342,4,"335,8","83,9"
2343,14,"253,2","18,1"
2344,2,"0,0","0,0"
2345,6,"3,7","0,6"
2346,4,"1,1","0,3"
2347,4,"6,1","1,5"
2348,4,"0,9","0,2"
2349,2,"0,0","0,0"
2350,4,"8,4","2,1"
2351,4,"36,0","9,0"
2352,8,"20,7","2,6"
2353,4,"4,7","1,2"
2354,4,"4,9","1,2"
2355,4,"0,8","0,2"
2356,1,"0,0","0,0"
2357,4,"5,4","1,3"
2358,2,"0,0","0,0"
2359,2,"0,0","0,0"
2360,4,"26,0","6,5"
2361,4,"10,0","2,5"
2362,4,"3,2","0,8"
2363,4,"4,8","1,2"
2364,4,"0,9","0,2"
2365,1,"0,0","0,0"
2366,4,"2,4","0,6"
2367,4,"2,2","0,6"
2368,4,"2,6","0,7"
2369,6,"27,4","4,6"
2370,4,"7,1","1,8"
2371,4,"1,9","0,5"
2372,4,"10,1","2,5"
2373,6,"3,0","0,5"
2374,4,"13,1","3,3"
2375,4,"4,3","1,1"
2376,4,"6,5","1,6"
2377,4,"3,4","0,8"
2378,4,"20,1","5,0"
2379,4,"2,4","0,6"
2380,4,"2,3","0,6"
2381,4,"2,9","0,7"
2382,4,"0,7","0,2"
2383,4,"4,5","1,1"
2384,4,"26,2","6,5"
2385,4,"8,8","2,2"
2386,4,"7,8","2,0"
2387,3,"7,8","2,6"
2388,4,"4,4","1,1"
2389,4,"9,3","2,3"
2390,4,"15,8","3,9"
2391,4,"5,4","1,4"
2392,4,"12,1","3,0"
2393,4,"2,2","0,6"
2394,4,"6,1","1,5"
2395,4,"12,5","3,1"
2396,4,"14,1","3,5"
2397,4,"9,5","2,4"
2398,4,"2,2","0,5"
2399,4,"6,2","1,5"
2400,4,"10,9","2,7"
2401,4,"6,2","1,6"
2402,4,"25,6","6,4"
2403,4,"2,8","0,7"
2404,4,"1,2","0,3"
2405,4,"2,5","0,6"
2406,4,"9,1","2,3"
2407,4,"10,2","2,5"
2408,24,"896,8","37,4"
2409,4,"10,8","2,7"
2410,4,"9,1","2,3"
2411,4,"14,7","3,7"
2412,4,"5,7","1,4"
2413,4,"1,3","0,3"
2414,4,"1,7","0,4"
2415,4,"1,0","0,3"
2416,4,"27,6","6,9"
2417,4,"0,8","0,2"
2418,4,"7,9","2,0"
2419,4,"4,6","1,2"
2420,4,"13,7","3,4"
2421,4,"6,9","1,7"
2422,4,"13,4","3,4"
2423,4,"4,6","1,2"
2424,4,"1,9","0,5"
2425,4,"0,8","0,2"
2426,4,"9,9","2,5"
2427,4,"4,8","1,2"
2428,4,"9,6","2,4"
2429,4,"2,5","0,6"
2430,4,"3,8","1,0"
2431,4,"4,1","1,0"
2432,4,"7,4","1,9"
2433,4,"6,9","1,7"
2434,4,"1,5","0,4"
2435,4,"3,3","0,8"
2436,4,"3,3","0,8"
2437,4,"8,1","2,0"
2438,4,"8,4","2,1"
2439,4,"1,3","0,3"
2440,4,"5,5","1,4"
2441,2,"3,0","1,5"
2442,4,"5,5","1,4"
2443,2,"0,0","0,0"
2444,2,"0,0","0,0"
2445,4,"9,2","2,3"
2446,4,"1,8","0,4"
2447,4,"62,4","15,6"
2448,4,"39,3","9,8"
2449,4,"8,1","2,0"
2450,4,"8,4","2,1"
2451,4,"14,7","3,7"
2452,6,"16,7","2,8"
2453,6,"14,2","2,4"
2454,4,"18,7","4,7"
2455,4,"18,9","4,7"
2456,4,"3,3","0,8"
2457,4,"7,3","1,8"
2458,6,"55,6","9,3"
2459,4,"14,8","3,7"
2460,4,"1,5","0,4"
2461,4,"16,0","4,0"
2462,4,"4,0","1,0"
2463,6,"6,0","1,0"
2464,4,"2,2","0,5"
2465,4,"11,4","2,8"
2466,4,"3,5","0,9"
2467,8,"2,4","0,3"
2468,6,"6,0","1,0"
2469,6,"14,4","2,4"
2470,4,"9,5","2,4"
2471,6,"22,2","3,7"
2472,4,"47,7","11,9"
2473,4,"13,8","3,5"
2474,4,"12,1","3,0"
2475,6,"12,9","2,1"
2476,4,"1,2","0,3"
2477,6,"5,0","0,8"
2478,8,"6,2","0,8"
2479,4,"43,7","10,9"
2480,4,"78,1","19,5"
2481,8,"6,7","0,8"
2482,8,"16,5","2,1"
2483,8,"1,0","0,1"
2484,6,"1,8","0,3"
2485,4,"2,7","0,7"
2486,4,"4,4","1,1"
2487,8,"10,1","1,3"
2488,4,"7,4","1,9"
2489,14,"69,7","5,0"
2490,4,"25,5","6,4"
2491,4,"11,2","2,8"
2492,16,"244,4","15,3"
2493,4,"5,7","1,4"
2494,4,"8,0","2,0"
2495,4,"3,5","0,9"
2496,4,"2,3","0,6"
2497,6,"6,7","1,1"
2498,10,"9,0","0,9"
2499,6,"44,2","7,4"
2500,6,"1,9","0,3"
2501,4,"1,0","0,3"
2502,6,"1,2","0,2"
2503,8,"49,4","6,2"
2504,10,"10,5","1,0"
2505,4,"6,1","1,5"
2506,4,"1,5","0,4"
2507,6,"282,0","47,0"
2508,4,"7,6","1,9"
2509,16,"45,5","2,8"
2510,4,"9,4","2,3"
2511,4,"13,3","3,3"
2512,4,"7,9","2,0"
2513,4,"3,1","0,8"
2514,4,"44,5","11,1"
2515,4,"6,9","1,7"
2516,4,"18,2","4,5"
2517,10,"11,6","1,2"
2518,6,"7,7","1,3"
2519,4,"12,9","3,2"
2520,4,"16,9","4,2"
2521,4,"18,2","4,5"
2522,6,"33,9","5,6"
2523,6,"3,1","0,5"
2524,4,"5,4","1,4"
2525,4,"4,7","1,2"
2526,6,"16,2","2,7"
2527,6,"19,2","3,2"
2528,4,"9,6","2,4"
2529,8,"52,6","6,6"
2530,4,"0,9","0,2"
2531,4,"8,6","2,2"
2532,8,"20,6","2,6"
2533,4,"31,5","7,9"
2534,6,"12,6","2,1"
2535,4,"3,2","0,8"
2536,4,"18,4","4,6"
2537,4,"1,9","0,5"
2538,4,"58,4","14,6"
2539,4,"16,6","4,2"
2540,10,"8,0","0,8"
2541,4,"7,8","2,0"
2542,4,"5,0","1,3"
2543,4,"7,3","1,8"
2544,4,"8,2","2,1"
2545,4,"4,3","1,1"
2546,4,"9,3","2,3"
2547,4,"19,0","4,8"
2548,8,"8,5","1,1"
2549,4,"5,0","1,2"
2550,4,"15,9","4,0"
2551,4,"9,8","2,4"
2552,4,"7,1","1,8"
2553,12,"70,2","5,9"
2554,8,"5,2","0,7"
2555,4,"5,1","1,3"
2556,4,"1,7","0,4"
2557,8,"23,0","2,9"
2558,4,"0,8","0,2"
2559,4,"0,9","0,2"
2560,4,"8,3","2,1"
2561,4,"2,5","0,6"
2562,4,"15,0","3,7"
2563,6,"22,6","3,8"
2564,4,"1,8","0,5"
2565,8,"3,0","0,4"
2566,2,"0,0","0,0"
2567,4,"4,6","1,1"
2568,4,"15,2","3,8"
2569,4,"5,0","1,2"
2570,4,"41,5","10,4"
2571,4,"7,0","1,8"
2572,4,"3,5","0,9"
2573,4,"26,9","6,7"
2574,4,"43,5","10,9"
2575,4,"1,6","0,4"
2576,4,"6,5","1,6"
2577,4,"26,7","6,7"
2578,4,"5,5","1,4"
2579,4,"29,1","7,3"
2580,4,"2,2","0,5"
2581,4,"6,3","1,6"
2582,4,"21,0","5,3"
2583,4,"19,7","4,9"
2584,4,"2,8","0,7"
2585,4,"6,0","1,5"
2586,4,"18,3","4,6"
2587,4,"3,7","0,9"
2588,4,"0,9","0,2"
2589,4,"3,0","0,8"
2590,4,"73,3","18,3"
2591,4,"6,4","1,6"
2592,4,"3,6","0,9"
2593,4,"0,5","0,1"
2594,4,"0,8","0,2"
2595,4,"4,1","1,0"
2596,4,"0,8","0,2"
2597,4,"1,6","0,4"
2598,4,"6,0","1,5"
2599,4,"36,3","9,1"
2600,6,"16,1","2,7"
2601,2,"0,0","0,0"
2602,22,"176,4","8,0"
2603,14,"47,8","3,4"
2604,194,"3397,5","17,5"
2605,4,"7,7","1,9"
2606,4,"472,8","118,2"
2607,2,"155,5","77,8"
2608,2,"0,0","0,0"
2609,12,"204,8","17,1"
2610,2,"0,0","0,0"
2611,0,"0,0",#DIV/0!
2612,2,"515,4","257,7"
2613,0,"0,0",#DIV/0!
2614,0,"0,0",#DIV/0!
2615,0,"0,0",#DIV/0!
2616,0,"0,0",#DIV/0!
2617,0,"0,0",#DIV/0!
2618,0,"0,0",#DIV/0!
2619,2,"166,2","83,1"
2620,0,"0,0",#DIV/0!
2621,4,"26,4","6,6"
2622,2,"0,0","0,0"
2623,4,"261,1","65,3"
2624,8,"98,5","12,3"
2625,8,"22,9","2,9"
2626,8,"10,3","1,3"
2627,2,"7,1","3,5"
2628,0,"0,0",#DIV/0!
2629,2,"0,5","0,2"
2630,4,"46,5","11,6"
2631,2,"0,0","0,0"
2632,0,"0,0",#DIV/0!
2633,2,"12,6","6,3"
2634,2,"12,6","6,3"
2635,0,"0,0",#DIV/0!
2636,0,"0,0",#DIV/0!
2637,2,"0,1","0,0"
2638,4,"66,1","16,5"
2639,6,"18,0","3,0"
2640,6,"35,9","6,0"
2641,4,"35,0","8,8"
