"Objects size, MB",Bag ID,ObjectNumber,"Objects size, average, MB"
"25,6",2402,4,"6,4"
"4524,0",2154,198,"22,8"
"6205,9",2142,124,"50,0"
"0,0",2165,1,"0,0"
"2393,8",2020,144,"16,6"
"12,6",2534,6,"2,1"
"0,0",2211,1,"0,0"
"9,6",2428,4,"2,4"
"645,7",2022,53,"12,2"
"16,1",2600,6,"2,7"
"2891,1",2173,6,"481,8"
"180,8",2294,3,"60,3"
"62,4",2447,4,"15,6"
"8,0",2540,10,"0,8"
"6,2",2401,4,"1,6"
"437,9",2208,22,"19,9"
"14,7",2411,4,"3,7"
"1,6",2597,4,"0,4"
"38,3",2308,8,"4,8"
"3232,4",2194,11,"293,9"
"0,0",2204,0,#DIV/0!
"2,5",2561,4,"0,6"
"4,1",2595,4,"1,0"
"1860,9",2151,5,"372,2"
"3659,1",2095,84,"43,6"
"3,5",2495,4,"0,9"
"8,4",2350,4,"2,1"
"15,0",2562,4,"3,7"
"8914,0",2152,168,"53,1"
"7,1",2552,4,"1,8"
"12,1",2474,4,"3,0"
"45,5",2509,16,"2,8"
"0,0",2631,2,"0,0"
"37,8",2334,6,"6,3"
"70,2",2553,12,"5,9"
"0,0",2349,2,"0,0"
"0,1",2006,2,"0,0"
"518,3",2074,12,"43,2"
"0,0",2613,0,#DIV/0!
"32,7",2295,5,"6,5"
"967,8",2064,60,"16,1"
"0,0",2247,0,#DIV/0!
"6,0",2585,4,"1,5"
"3,2",2362,4,"0,8"
"17024,9",2001,145,"117,4"
"467,5",2217,8,"58,4"
"4,7",2525,4,"1,2"
"2,5",2405,4,"0,6"
"9,0",2498,10,"0,9"
"0,0",2614,0,#DIV/0!
"276,5",2301,2,"138,2"
"870,0",2219,4,"217,5"
"1,9",2424,4,"0,5"
"11,8",2066,2,"5,9"
"14587,6",2289,36,"405,2"
"35,0",2641,4,"8,8"
"181,2",2143,5,"36,2"
"10,1",2372,4,"2,5"
"4191,1",2157,32,"131,0"
"1,5",2434,4,"0,4"
"7,8",2386,4,"2,0"
"4,8",2363,4,"1,2"
"766,8",2254,42,"18,3"
"5,2",2554,8,"0,7"
"50,5",2193,9,"5,6"
"22,6",2563,6,"3,8"
"1,0",2501,4,"0,3"
"4547,8",2049,94,"48,4"
"1,3",2439,4,"0,3"
"1,5",2506,4,"0,4"
"3174,0",2037,40,"79,3"
"0,0",2304,2,"0,0"
"3010,8",2111,38,"79,2"
"10,5",2321,4,"2,6"
"2,2",2367,4,"0,6"
"22,2",2471,6,"3,7"
"467,4",2317,4,"116,9"
"452,1",2323,12,"37,7"
"525,2",2198,30,"17,5"
"8,8",2385,4,"2,2"
"3809,8",2210,14,"272,1"
"242,2",2043,7,"34,6"
"2422,6",2161,18,"134,6"
"12,9",2519,4,"3,2"
"6622,7",2186,54,"122,6"
"2659,1",2287,10,"265,9"
"7,3",2543,4,"1,8"
"1,7",2414,4,"0,4"
"80,4",2240,4,"20,1"
"16,6",2539,4,"4,2"
"2,2",2393,4,"0,6"
"6,9",2421,4,"1,7"
"219,8",2038,6,"36,6"
"13,8",2473,4,"3,5"
"3834,0",2059,34,"112,8"
"6592,7",2181,80,"82,4"
"6,3",2581,4,"1,6"
"1157,2",2274,42,"27,6"
"7165,7",2104,112,"64,0"
"37,8",2339,6,"6,3"
"6,9",2433,4,"1,7"
"282,0",2507,6,"47,0"
"0,1",2232,3,"0,0"
"3,0",2589,4,"0,8"
"2,2",2398,4,"0,5"
"0,0",2201,0,#DIV/0!
"25,8",2025,8,"3,2"
"0,2",2012,2,"0,1"
"5,1",2555,4,"1,3"
"499,7",2248,20,"25,0"
"0,0",2288,0,#DIV/0!
"0,0",2359,2,"0,0"
"18,6",2300,4,"4,7"
"37,9",2243,7,"5,4"
"3,8",2430,4,"1,0"
"3709,3",2171,44,"84,3"
"12,6",2633,2,"6,3"
"1411,5",2091,48,"29,4"
"184,1",2117,5,"36,8"
"7,7",2605,4,"1,9"
"31,5",2533,4,"7,9"
"16705,5",2126,341,"49,0"
"0,0",2291,1,"0,0"
"0,0",2636,0,#DIV/0!
"4945,5",2088,130,"38,0"
"5,4",2391,4,"1,4"
"0,0",2253,0,#DIV/0!
"13,1",2374,4,"3,3"
"6,1",2505,4,"1,5"
"0,9",2559,4,"0,2"
"0,0",2184,1,"0,0"
"2394,1",2058,36,"66,5"
"963,4",2131,8,"120,4"
"2,7",2485,4,"0,7"
"5,5",2440,4,"1,4"
"9,4",2510,4,"2,3"
"10,1",2487,8,"1,3"
"7,8",2541,4,"2,0"
"13,8",2325,4,"3,5"
"66,1",2638,4,"16,5"
"4787,2",2163,16,"299,2"
"4,5",2383,4,"1,1"
"20,6",2532,8,"2,6"
"0,0",2615,0,#DIV/0!
"10,5",2504,10,"1,0"
"4140,1",2160,250,"16,6"
"293,6",2341,18,"16,3"
"42,4",2106,5,"8,5"
"1036,0",2070,35,"29,6"
"15158,5",2158,274,"55,3"
"26,2",2384,4,"6,5"
"0,1",2009,2,"0,0"
"2020,5",2021,26,"77,7"
"36,0",2351,4,"9,0"
"785,1",2133,8,"98,1"
"6648,6",2138,13,"511,4"
"9,3",2546,4,"2,3"
"5,0",2569,4,"1,2"
"2884,2",2048,58,"49,7"
"47,7",2472,4,"11,9"
"321,5",2056,14,"23,0"
"9075,8",2065,14,"648,3"
"3489,1",2103,54,"64,6"
"15430,5",2153,268,"57,6"
"1318,6",2110,40,"33,0"
"126,7",2169,7,"18,1"
"4,3",2545,4,"1,1"
"0,0",2270,0,#DIV/0!
"10,3",2626,8,"1,3"
"793,3",2203,124,"6,4"
"771,9",2119,37,"20,9"
"75,8",2330,4,"18,9"
"3495,1",2271,60,"58,3"
"0,0",2256,0,#DIV/0!
"0,1",2340,2,"0,0"
"2108,7",2036,26,"81,1"
"147,6",2221,6,"24,6"
"508,3",2042,112,"4,5"
"1357,7",2054,16,"84,9"
"9,3",2389,4,"2,3"
"38,3",2076,6,"6,4"
"16116,2",2039,74,"217,8"
"2460,9",2000,12,"205,1"
"4,4",2486,4,"1,1"
"204,8",2609,12,"17,1"
"8,2",2544,4,"2,1"
"33,9",2522,6,"5,6"
"7,7",2518,6,"1,3"
"3,5",2572,4,"0,9"
"18831,4",2127,354,"53,2"
"0,0",2628,0,#DIV/0!
"0,4",2331,2,"0,2"
"0,0",2272,2,"0,0"
"8,2",2319,4,"2,1"
"2686,5",2115,10,"268,7"
"0,0",2284,2,"0,0"
"23214,7",2072,304,"76,4"
"9048,8",2136,222,"40,8"
"0,1",2218,2,"0,1"
"0,0",2617,0,#DIV/0!
"1429,7",2146,14,"102,1"
"0,0",2358,2,"0,0"
"0,9",2588,4,"0,2"
"8,0",2494,4,"2,0"
"1641,8",2197,6,"273,6"
"4,6",2419,4,"1,2"
"231,4",2273,8,"28,9"
"49,4",2503,8,"6,2"
"1571,1",2234,6,"261,9"
"0,0",2622,2,"0,0"
"0,0",2566,2,"0,0"
"1,7",2556,4,"0,4"
"1537,2",2140,38,"40,5"
"1643,7",2051,54,"30,4"
"7,1",2370,4,"1,8"
"9164,5",2086,94,"97,5"
"83,6",2052,4,"20,9"
"0,0",2620,0,#DIV/0!
"0,1",2015,2,"0,0"
"754,1",2264,20,"37,7"
"7941,6",2077,87,"91,3"
"3397,5",2604,194,"17,5"
"26,4",2621,4,"6,6"
"277,5",2230,44,"6,3"
"896,8",2408,24,"37,4"
"0,8",2594,4,"0,2"
"1171,6",2040,4,"292,9"
"9290,3",2089,185,"50,2"
"2294,8",2145,94,"24,4"
