Title,average_size bytes,id,objects_num,total_size bytes
,3192990,2652,14,44701860
,587006030,2298,2,1174012061
,41236903,2665,4,164947613
,32061979,2171,6,192371874
,4369837,2075,6,26219023
,31333081,2213,3,93999243
,363069,2640,2,726138
,1057587878,2324,2,2115175757
,4101806,2116,2,8203613
,129297600,2667,4,517190400
,319478916,2310,2,638957832
,3252127,2150,2,6504254
,300334948,2118,2,600669897
,2998644,2670,6,17991868
,6613135,2669,6,39678810
,14336154,2643,2,28672308
,126066917,2318,4,504267671
,23960203,2639,8,191681624
,1668890,2672,4,6675561
