Property,average_size bytes,id,objects_num,total_size bytes
,9294976,2699,4,37179906
,341322,2439,4,1365289
,389487,2565,8,3115901
,46382129,2134,6,278292777
,1095978,2504,10,10959784
,6856303,2295,5,34281515
,1185311,2383,4,4741246
,10492002,2105,10,104920020
,102905136,2133,8,823241095
,38727,2698,2,77454
,10299252,2448,4,41197011
,54306489,2081,41,2226566085
,3847252,2411,4,15389009
,15915636,2141,40,636625460
,1804289,2433,4,7217156
,204646,2688,4,818586
,29816384,2654,2,59632769
,1441807,2440,4,5767230
,6348,2356,1,6348
,39537381,2264,20,790747634
,246306,2559,4,985226
,26572,2019,2,53144
,113322755,2318,44,4986201263
,14540,2601,2,29080
,67750807,2103,54,3658543619
,10868076,2570,4,43472304
,128600459,2186,54,6944424801
,603363,2693,6,3620178
,10378,2349,2,20756
,55637036,2152,168,9347022065
,27595763,2030,4,110383055
,2827668,2124,8,22621345
,732230,2403,4,2928920
,313736738,2163,16,5019787809
,2395407,2406,4,9581631
,51369350,2126,341,17516948444
,3827488,2706,21,80377260
,665066,2405,4,2660266
,106439494,2073,12,1277273931
,1217894,2419,4,4871579
,1950755,2432,4,7803021
,11138281,2212,6,66829686
,309367,2484,6,1856202
,506494936,2071,17,8610413913
,572496,2398,4,2289985
,3655392,2216,4,14621570
,14888888,2053,22,327555542
,7147,2304,2,14294
,137334280,2157,32,4394696967
,6613101,2334,6,39678606
,32361,2637,2,64722
,3929409,2562,4,15717637
,658214,2429,4,2632857
,4985473,2251,2,9970946
,1487728,2412,4,5950915
,9636,2657,2,19272
,2520923,2469,6,15125542
,2919757,2452,6,17518542
,55649748,2604,594,33055950646
,923439,2650,8,7387518
,51680312,2049,98,5064670582
,6050358,2227,28,169410029
,65822092,2047,234,15402369566
,533565414,2298,40,21342616596
,68457967,2623,4,273831870
,31190781,2031,66,2058591611
,5006203,2663,4,20024812
,1322941,2542,4,5291764
,25287,2285,2,50574
,524095,2373,6,3144572
,31495555,2202,68,2141697746
,96871,2190,2,193742
,20241,2242,2,40482
,8260620,2533,4,33042480
,564779,2580,4,2259116
,915582,2572,4,3662331
,58010255,2158,274,15894809877
,3277372,2395,4,13109488
,1589294,2347,4,6357178
,122318390,2001,148,18103121863
,278828038,2287,10,2788280385
,6613101,2336,6,39678606
,60241365,2098,128,7710894729
,1820939,2515,4,7283759
,214677,2594,4,858708
,80073679,2072,304,24342398570
,413137536,2148,60,24788252201
,468636,2032,4,1874544
,39503642,2323,12,474043711
,744680,2584,4,2978720
,507691,2371,4,2030764
,60373405,2153,268,16180072595
,303831620,2156,18,5468969175
,31741494,2200,30,952244820
,233639,2588,4,934559
,59522401,2176,38,2261851260
,18964607,2343,14,265504499
,2524291,2428,4,10097166
,1253606,2660,10,12536060
,4358292,2539,4,17433171
,46445271,2162,62,2879606854
,4204801,2461,4,16819207
,27003,2286,2,54006
,6613135,2669,6,39678810
,11061,2653,2,22122
,3908578,2705,13,50811523
,1903410,2543,4,7613643
,307130328,2040,4,1228521312
,2384260,2410,4,9537042
,2521287,2528,4,10085151
,39960,2009,2,79920
,6993344,2577,4,27973376
,1703814,2576,4,6815257
,32833378,2245,60,1970002683
,2984695,2625,8,23877564
,6613135,2228,2,13226270
,76472872,2102,50,3823643636
,876911,2435,4,3507645
,58897638,2656,8,471181110
,36251,2011,2,72502
,7040675,2573,4,28162703
,2432963,2389,4,9731853
,839767,2540,10,8397670
,3972603,2568,4,15890413
,63726335,2083,48,3058864111
,2825856,2409,4,11303427
,2986828,2465,4,11947313
,14938230,2167,4,59752921
,2663166,2407,4,10652666
,2727251,2387,3,8181754
,1854098,2370,4,7416395
,21598330,2187,6,129589980
,12186115,2630,4,48744462
,75022,2651,1,75022
,1569988,2598,4,6279954
,1648681,2581,4,6594725
,5050382,2226,8,40403061
,6678745,2490,4,26714983
,8409708,2602,22,185013592
,95717026,2077,87,8327381275
,19224775,2590,4,76899100
,19522261,2170,7,136655832
,87461198,2250,20,1749223967
,1815605,2421,4,7262420
,94062512,2109,48,4515000582
,199178,2078,6,1195069
,30830121,2100,139,4285386895
,5253653,2703,4,21014614
,1113422,2548,8,8907380
,15312690,2538,4,61250761
,1836078,2571,4,7344315
,3941373,2563,6,23648240
,1626604,2401,4,6506417
,32946441,2147,24,790714606
,237157,2530,4,948630
,16913153,2064,60,1014789234
,64392,2017,2,128784
,8206,2365,1,8206
,40067,2007,2,80134
,29942355,2079,180,5389623984
,37656,2006,2,75312
