Metric,Description,Score,Status
Daily DAO Standups,Attendance is taken by HR,4.2,Attended
Communication with Council and Leads,Responding to requests <24 hours,6,Completed
Working Group Report,Submitted before the end of term,6,Completed
Working Group Plan,Submitted before the end of term,6,Completed
"Council Meeting ",Midterm & Handover Meeting,6,Completed
