OKRs,No,Tasks,Status,Score
,1,"The main work of curating videos, channels and metadata (resources) in https://gleev.xyz/ and https://l1.media/",Done,50
,2,All non yt-synch channels are reviewed for Reward Content Policy by curators in more than 48 hours after first video is published [objectives score https://miro.com/app/board/uXjVMaVGcaY=/],Done,50
,3,Working with CRP [https://www.notion.so/f215e3fb7b984827a6facf2de683e40a?pvs=21],Done,50
,4,Promoting NFTs in Discord (curator of the day posts interesting NFT(s) in #creator channel),Done,50
,5,Coordinate with MWG for Twitter posting of the best NFTs and content,Done,50
,6,Hire a Gleev curator to review new YPP channels.,Done,50
,,Total,Null,300
