OKRs,No,Score,Status,Tasks
,1,50,Done,"The main work of curating videos, channels and metadata (resources) in https://gleev.xyz/ and https://l1.media/"
,2,50,Done,All non yt-synch channels are reviewed for Reward Content Policy by curators in more than 48 hours after first video is published [objectives score https://miro.com/app/board/uXjVMaVGcaY=/]
,6,50,Done,Hire a Gleev curator to review new YPP channels.
,4,50,Done,Promoting NFTs in Discord (curator of the day posts interesting NFT(s) in #creator channel)
,5,50,Done,Coordinate with MWG for Twitter posting of the best NFTs and content
,3,50,Done,Working with CRP [https://www.notion.so/f215e3fb7b984827a6facf2de683e40a?pvs=21]
,,300,Null,Total
