Property,Work Hours
ivant,5
chaos77,8
lkskrn,2
polikosi,5
mkblockchaindev,25
freakstatic,0
gyroflaw,10
l1dev (Lead activities only),8
TheGrimSavage,2
dave_07,0
,
Lead Extra Hours:,
,
