Property,Work Hours
l1dev (Lead activities only),8
ivant,5
polikosi,5
lkskrn,2
freakstatic,0
gyroflaw,10
mkblockchaindev,25
chaos77,8
dave_07,0
TheGrimSavage,2
,
Lead Extra Hours:,
,
