"size, MB",createdAt,id,storageBag/id,videoMedia/mediaId
"0,01",29.04.2022,13908,2544,0
"1,72",29.04.2022,13961,2554,13961
"27,78",28.04.2022,13425,2458,13425
"0,01",28.04.2022,13521,2478,0
"2,87",28.04.2022,13765,2517,13765
"0,01",25.04.2022,13055,2372,0
"1,99",29.04.2022,13885,2540,13885
"0,02",27.04.2022,13345,2442,0
"0,01",28.04.2022,13726,2509,0
"0,01",25.04.2022,13113,2386,0
"0,01",28.04.2022,13622,2492,0
"0,03",28.04.2022,13396,2452,0
"0,01",25.04.2022,13064,2373,0
"0,01",28.04.2022,13730,2509,0
"23,72",24.04.2022,13037,2369,0
"0,01",23.04.2022,12942,2344,0
"0,74",28.04.2022,13463,2467,13463
"16,89",28.04.2022,13793,2522,13793
"0,02",28.04.2022,13402,2453,0
"1,72",29.04.2022,13959,2554,13959
"0,01",28.04.2022,13435,2461,0
"1,48",25.04.2022,13061,2373,13061
"271,92",28.04.2022,13531,2001,13531
"0,01",29.04.2022,14024,2318,0
"0,01",28.04.2022,13616,2492,0
"5,44",27.04.2022,13340,2440,13340
"2,58",28.04.2022,13691,2504,13691
"0,03",28.04.2022,13666,2500,0
"0,02",25.04.2022,13141,2393,0
"0,02",28.04.2022,13652,2498,0
"0,03",28.04.2022,13486,2471,0
