id,createdAt,"size, MB",storageBag/id,videoMedia/mediaId
13513,28.04.2022,"271,92",2001,13513
13531,28.04.2022,"271,92",2001,13531
14021,29.04.2022,"271,92",2001,14021
13041,24.04.2022,"70,59",2343,0
13617,28.04.2022,"34,90",2492,0
13613,28.04.2022,"34,90",2492,0
13621,28.04.2022,"34,90",2492,0
13791,28.04.2022,"30,07",2343,13791
13797,28.04.2022,"30,07",2343,13797
13423,28.04.2022,"27,78",2458,13423
13425,28.04.2022,"27,78",2458,13425
13037,24.04.2022,"23,72",2369,0
13831,28.04.2022,"17,49",2529,13831
13833,28.04.2022,"17,49",2529,13833
13793,28.04.2022,"16,89",2522,13793
13949,29.04.2022,"14,02",2553,13949
13951,29.04.2022,"14,02",2553,13951
13953,29.04.2022,"14,02",2553,13953
13593,28.04.2022,"11,59",2489,13593
13595,28.04.2022,"11,59",2489,13595
14003,29.04.2022,"11,24",2563,14003
13487,28.04.2022,"11,05",2471,13487
13057,25.04.2022,"10,01",2372,13057
13821,28.04.2022,"9,55",2527,13821
12974,24.04.2022,"8,35",2352,0
12976,24.04.2022,"8,35",2352,0
13397,28.04.2022,"8,31",2452,13397
13394,28.04.2022,"8,31",2452,13394
13977,29.04.2022,"7,63",2557,13977
13477,28.04.2022,"7,19",2469,13477
13401,28.04.2022,"7,04",2453,0
13847,28.04.2022,"6,84",2532,13847
13719,28.04.2022,"6,48",2509,13719
13723,28.04.2022,"6,48",2509,13723
13727,28.04.2022,"6,48",2509,13727
13729,28.04.2022,"6,48",2509,13729
13859,29.04.2022,"6,30",2534,13859
13549,28.04.2022,"5,48",2482,13549
13340,27.04.2022,"5,44",2440,13340
13773,28.04.2022,"3,81",2518,13773
13579,28.04.2022,"3,34",2487,13579
13581,28.04.2022,"3,34",2487,13581
13445,28.04.2022,"2,98",2463,13445
13471,28.04.2022,"2,98",2468,13471
13765,28.04.2022,"2,87",2517,13765
13767,28.04.2022,"2,87",2517,13767
13923,29.04.2022,"2,81",2548,13923
13925,29.04.2022,"2,81",2548,13925
13691,28.04.2022,"2,58",2504,13691
13693,28.04.2022,"2,58",2504,13693
13695,28.04.2022,"2,58",2504,13695
13517,28.04.2022,"2,44",2477,13517
13653,28.04.2022,"2,24",2498,13653
13543,28.04.2022,"2,21",2481,13543
13523,28.04.2022,"2,04",2478,13523
13885,29.04.2022,"1,99",2540,13885
13887,29.04.2022,"1,99",2540,13887
13961,29.04.2022,"1,72",2554,13961
13959,29.04.2022,"1,72",2554,13959
13232,26.04.2022,"1,66",2414,13232
13801,28.04.2022,"1,52",2523,13801
13061,25.04.2022,"1,48",2373,13061
14013,29.04.2022,"0,97",2565,14013
14015,29.04.2022,"0,97",2565,14015
14017,29.04.2022,"0,97",2565,14017
13463,28.04.2022,"0,74",2467,13463
13557,28.04.2022,"0,31",2483,13557
13942,29.04.2022,"0,04",2552,0
13782,28.04.2022,"0,04",2520,0
13440,28.04.2022,"0,04",2462,0
13349,27.04.2022,"0,04",2443,0
13363,27.04.2022,"0,04",2444,0
13377,28.04.2022,"0,04",2448,0
13898,29.04.2022,"0,04",2542,0
13396,28.04.2022,"0,03",2452,0
13331,27.04.2022,"0,03",2438,0
13400,28.04.2022,"0,03",2453,0
13486,28.04.2022,"0,03",2471,0
14020,29.04.2022,"0,03",2566,0
12943,23.04.2022,"0,03",2344,0
13357,27.04.2022,"0,03",2310,0
13466,28.04.2022,"0,03",2467,0
13590,28.04.2022,"0,03",2489,0
13339,27.04.2022,"0,03",2440,0
13359,27.04.2022,"0,03",2310,0
13464,28.04.2022,"0,03",2467,0
13666,28.04.2022,"0,03",2500,0
13548,28.04.2022,"0,03",2482,0
13042,24.04.2022,"0,03",2343,0
13044,24.04.2022,"0,03",2341,0
13778,28.04.2022,"0,02",2519,0
14008,29.04.2022,"0,02",2564,0
13650,28.04.2022,"0,02",2498,0
13676,28.04.2022,"0,02",2502,0
13402,28.04.2022,"0,02",2453,0
13872,29.04.2022,"0,02",2537,0
13141,25.04.2022,"0,02",2393,0
13420,28.04.2022,"0,02",2457,0
13379,28.04.2022,"0,02",2448,0
13488,28.04.2022,"0,02",2471,0
13490,28.04.2022,"0,02",2471,0
13277,26.04.2022,"0,02",2425,0
13692,28.04.2022,"0,02",2504,0
13365,27.04.2022,"0,02",2445,0
13816,28.04.2022,"0,02",2526,0
14004,29.04.2022,"0,02",2563,0
14006,29.04.2022,"0,02",2563,0
13504,28.04.2022,"0,02",2475,0
13472,28.04.2022,"0,02",2468,0
13948,29.04.2022,"0,02",2553,0
13646,28.04.2022,"0,02",2497,0
13456,28.04.2022,"0,02",2465,0
13594,28.04.2022,"0,02",2489,0
13598,28.04.2022,"0,02",2489,0
13600,28.04.2022,"0,02",2489,0
13114,25.04.2022,"0,02",2386,0
13710,28.04.2022,"0,02",2507,0
12989,24.04.2022,"0,02",2355,0
13345,27.04.2022,"0,02",2442,0
13764,28.04.2022,"0,02",2517,0
13662,28.04.2022,"0,02",2499,0
13652,28.04.2022,"0,02",2498,0
13976,29.04.2022,"0,02",2557,0
13978,29.04.2022,"0,02",2557,0
13389,28.04.2022,"0,02",2451,0
13438,28.04.2022,"0,02",2461,0
13800,28.04.2022,"0,02",2523,0
13912,29.04.2022,"0,01",2545,0
13680,28.04.2022,"0,01",2502,0
13906,29.04.2022,"0,01",2544,0
13776,28.04.2022,"0,01",2518,0
14014,29.04.2022,"0,01",2565,0
14016,29.04.2022,"0,01",2565,0
14018,29.04.2022,"0,01",2565,0
13684,28.04.2022,"0,01",2503,0
13686,28.04.2022,"0,01",2503,0
13850,28.04.2022,"0,01",2532,0
13566,28.04.2022,"0,01",2484,0
13722,28.04.2022,"0,01",2509,0
13726,28.04.2022,"0,01",2509,0
13728,28.04.2022,"0,01",2509,0
13730,28.04.2022,"0,01",2509,0
12994,24.04.2022,"0,01",2357,0
13506,28.04.2022,"0,01",2475,0
13347,27.04.2022,"0,01",2442,0
13330,27.04.2022,"0,01",2438,0
13348,27.04.2022,"0,01",2443,0
13439,28.04.2022,"0,01",2462,0
13558,28.04.2022,"0,01",2483,0
13560,28.04.2022,"0,01",2483,0
13427,28.04.2022,"0,01",2459,0
13431,28.04.2022,"0,01",2460,0
14024,29.04.2022,"0,01",2318,0
13616,28.04.2022,"0,01",2492,0
13620,28.04.2022,"0,01",2492,0
13622,28.04.2022,"0,01",2492,0
13626,28.04.2022,"0,01",2492,0
13908,29.04.2022,"0,01",2544,0
13890,29.04.2022,"0,01",2540,0
13888,29.04.2022,"0,01",2540,0
13233,26.04.2022,"0,01",2414,0
14022,29.04.2022,"0,01",2001,0
13521,28.04.2022,"0,01",2478,0
13234,26.04.2022,"0,01",2415,0
13064,25.04.2022,"0,01",2373,0
13781,28.04.2022,"0,01",2520,0
13539,28.04.2022,"0,01",2481,0
13973,29.04.2022,"0,01",2557,0
13649,28.04.2022,"0,01",2498,0
13035,24.04.2022,"0,01",2369,0
12942,23.04.2022,"0,01",2344,0
13055,25.04.2022,"0,01",2372,0
13845,28.04.2022,"0,01",2532,0
13113,25.04.2022,"0,01",2386,0
13717,28.04.2022,"0,01",2509,0
13741,28.04.2022,"0,01",2512,0
13435,28.04.2022,"0,01",2461,0
13871,29.04.2022,"0,01",2537,0
13985,29.04.2022,"0,01",2559,0
14019,29.04.2022,"0,01",2566,0
13921,29.04.2022,"0,01",2548,0
13860,29.04.2022,"0,01",2534,0
12988,24.04.2022,"0,00",2355,0
13905,29.04.2022,"0,00",2544,0
13841,28.04.2022,"0,00",2531,0
12997,24.04.2022,"0,00",2358,0
13857,29.04.2022,"0,00",2534,0
