Project Name,Tags,Project URL,GitHub URL,Notes
Polkascan,Open Source,https://explorer.polkascan.io/,https://github.com/polkascan,"Per https://substack.com/redirect/e02c3b51-34a5-42f8-8f4b-732c59d1a231?r=ktcup, Polkascan Explorer has been https://substack.com/redirect/58349afe-9c0e-4b57-a3e8-9f489860a0be?r=ktcup."
Polkadot-JS Apps Explorer,,,,
DotScanner,,,,
Polkaholic.io,,https://polkaholic.io/#chains,https://github.com/colorfulnotion/polkaholic,
