Property,Downloaded,Deleted,Duration,Video file size (mb),Cars and Vehicles,Comedy,Education,Entertainment,Film and animation,Games,Music,News and politics,People and blogs,Pets and animals,Instructions and style,Science and technology,Sports,Travel and events,Nonprofit organizations and activism,Created By
08.04.2022 Video is not playing,2,0,752,361624570,,,,1,1,,,,,,,,,,,Kira_skipper
09.04.2022 Video is not playing,2,0,73,22814632,,,,,,1,,,,,,,,1,,Kira_skipper
10.04.2022 Video is not playing,10,0,5160,2416106492,,,,6,,,2,,,,,,,2,,Kira_skipper
11.04.2022 Video is not playing,1,0,8,14211243,,,,,1,,,,,,,,,,,Kira_skipper
12.04.2022 Video is not playing,1,0,31,22700438,,,,1,,,,,,,,,,,,Kira_skipper
13.04.2022 Video is not playing,1,0,4923,386076900,,,1,,,,,,,,,,,,,Kira_skipper
14.04.2022 Videos playing,4,0,6073,432959618,,,1,1,,1,,,,1,,,,,,Kira_skipper
