Property,Downloaded,Deleted,Duration,Video file size (mb),Cars and Vehicles,Comedy,Education,Entertainment,Film and animation,Games,Music,News and politics,People and blogs,Pets and animals,Instructions and style,Science and technology,Sports,Travel and events,Nonprofit organizations and activism,Created By
04.04.2022,4,0,4051,1089055080,,,1,,1,,1,,,,,,,1,,Kira_skipper
05.04.2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kira_skipper
06.04.2022,2,0,153,314652576,,1,,,1,,,,,,,,,,,Kira_skipper
07.04.2022,5,0,6274,4390596479,,,,1,2,,1,,1,,,,,,1,Kira_skipper
08.04.2022,2,0,752,361624570,,,,1,1,,,,,,,,,,,Kira_skipper
09.04.2022,2,0,73,22814632,,,,,,1,,,,,,,,1,,Kira_skipper
10.04.2022,10,0,5160,2416106492,,,,6,,,2,,,,,,,2,,Kira_skipper
