Property,Employee ID,Employee's name,Created By
Employee ID:,16,24,Kira_skipper
Employee's name:,"@Kira_skipper ","@spat_sochi ",Kira_skipper
Region/Time Zone:,UTC+3,,Kira_skipper
Language:,EN/RU,,Kira_skipper
Discord handle:,Skipper#0353,spat\_sochi#8803,Kira_skipper
Total video verified:,12,13,Kira_skipper
Censorship violations found:,0,0,Kira_skipper
Duplicates detected:,0,0,Kira_skipper
Incorrect licenses found:,0,0,Kira_skipper
Found unplayable videos:,5,6,Kira_skipper
Performance:,100%,100%,Kira_skipper
Comments:,,The work was done in time,Kira_skipper
,,,Kira_skipper
