Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,JSG Grading Status
Bounty Score,Marketing,BOUNTY_SCORE,1,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,"General WG Score (Council%2015/Council%20Period%2015/General%20WG%20Score%20327cabeca9dd452ca395dd43965aedac.md), General WG Score (Council%2015/Council%20Period%2015/General%20WG%20Score%20581584cd10e945ebaebd068a1c79df31.md)","General WG Score, Subscore",Completed
Bounty Score,Storage,BOUNTY_SCORE,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,General WG Score (Council%2015/Council%20Period%2015/General%20WG%20Score%205e6e69ef2f6a4ed2936b7191139065fb.md),"General WG Score, Subscore",Completed
Total Breaches of Policy,Content,TOTAL_BREACHES_OF_POLICY,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,,"Moderation Score (Council%2015/Council%20Period%2015/Moderation%20Score%206fc6ce54b4604f16b4d64885058929c6.md), Migration Score (Council%2015/Council%20Period%2015/Migration%20Score%20aa428a9e4916491fa780e636a30bd6a5.md)","Catastrophic Errors, Grade, Spot Check",Not Completed
Meeting score,Council,MEETING_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-handover-meeting,,Network Performance Score (Council%2015/Council%20Period%2015/Network%20Performance%20Score%2065a72b4d8614419d98487f7ad30e8b17.md),"Forum Post, Master Score",Completed
Opening Score,Storage,OPENING_SCORE,1,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,General WG Score (Council%2015/Council%20Period%2015/General%20WG%20Score%205e6e69ef2f6a4ed2936b7191139065fb.md),"General WG Score, Subscore",Completed
Opening Score,Marketing,OPENING_SCORE,0.437,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,"General WG Score (Council%2015/Council%20Period%2015/General%20WG%20Score%20327cabeca9dd452ca395dd43965aedac.md), General WG Score (Council%2015/Council%20Period%2015/General%20WG%20Score%20581584cd10e945ebaebd068a1c79df31.md)","General WG Score, Subscore",Completed
Opening Score,Distributors,OPENING_SCORE,1,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,General WG Score (Council%2015/Council%20Period%2015/General%20WG%20Score%206b3c5fae2ac0411782d52f7e8d32682a.md),"General WG Score, Subscore",Completed
Opening Score,HR,OPENING_SCORE,0,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,General WG Score (Council%2015/Council%20Period%2015/General%20WG%20Score%20320634e5f5a048668af5d0d675507e40.md),"General WG Score, Subscore",Completed
Opening Score,Builders,OPENING_SCORE,1,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,General WG Score (Council%2015/Council%20Period%2015/General%20WG%20Score%204a85dd59ca73468aa54f3b0820d3f7ad.md),"General WG Score, Subscore",Completed
Opening Score,Forum,OPENING_SCORE,1,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,"General WG Score (Council%2015/Council%20Period%2015/General%20WG%20Score%20327cabeca9dd452ca395dd43965aedac.md), General WG Score (Council%2015/Council%20Period%2015/General%20WG%20Score%20581584cd10e945ebaebd068a1c79df31.md)","General WG Score, Subscore",Completed
Opening Score,Content,OPENING_SCORE,0.875,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,General WG Score (Council%2015/Council%20Period%2015/General%20WG%20Score%20ef200c40829449628f014f7d2b5dff74.md),"General WG Score, Subscore",Completed
System,Distributors,SYSTEM_SCORE,0.429,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#system_score,,Distributor Score (Council%2015/Council%20Period%2015/Distributor%20Score%205ac7a53a69964ecbbe889e7e65dfcc1f.md),"Grade, Group Specific Scores, Spot Check, Subscore",Completed
System,Storage,SYSTEM_SCORE,0.5,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#system_score,,Storage Score (Council%2015/Council%20Period%2015/Storage%20Score%20760ea13e9ae54d969779016f0bdb811b.md),"Grade, Group Specific Scores, Subscore",Completed
Documentation Score,Marketing,DOCUMENTATION_SCORE,,,,,"Grade, Subscore",Not Completed
Documentation Score,Marketing,DOCUMENTATION_SCORE,0.65,,,,Group Specific Scores,Completed
Bounty Management Score,HR,BOUNTY_MANAGEMENT_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#bounty_score,,HR Score (Council%2015/Council%20Period%2015/HR%20Score%20ee1623e1028742208dca69a4a7f71cd7.md),"Group Specific Scores, Subscore",Completed
Recruiting Score,Marketing,RECRUITING_SCORE,1,,,,Group Specific Scores,Completed
Migration Score,Content,CURATION_TESTING_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#moderation_score,Total Breaches of Policy (Council%2015/Council%20Period%2015/Total%20Breaches%20of%20Policy%206bc7f213039943669edcc10fed8edd96.md),Content Score (Council%2015/Council%20Period%2015/Content%20Score%202b8e279f4ef94e1aa9c4a60f3c903191.md),"Group Specific Scores, Subscore",Completed
Cost,Storage,COST_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#system_score,,Storage Score (Council%2015/Council%20Period%2015/Storage%20Score%20760ea13e9ae54d969779016f0bdb811b.md),"Grade, Group Specific Scores, Subscore",Completed
Cost Score,Distributors,COST_SCORE,0.4,,,,"Group Specific Scores, Subscore",Completed
