Name,Created,Created By,Last Edited Time,Participants,Type
Weekly Sync 8.4.2022,"April 14, 2022 9:12 AM",isonar,"April 18, 2022 3:15 PM","Martin, isonar",Sync with Martin
Weekly Sync 18.04.2022,"April 18, 2022 3:02 PM",isonar,"April 18, 2022 3:21 PM","isonar, Martin",Sync with Martin
Weekly sync 5.5.2022,"May 5, 2022 6:42 PM",isonar,"May 5, 2022 6:49 PM","isonar, Martin",Sync with Martin
Sync 23.06,"June 24, 2022 8:07 AM",isonar,"June 28, 2022 2:34 PM",Martin,Sync with Martin
