Name,Attributes,Builder Weight,Content Weight,Deadline (Local Time),Deadline [block],Deadline timestamp,Distributor Weight,Effective Deadline,Forum Link,Forum Post Required?,Forum Report Source,Forum Weight,Grade Name,Group,HR Weight,Handbook Link,Handover Weight,Lead Opportunities Weight,Marketer Weight,Marketing Weight,Notion Link,Notion Source Link,Opportunity Target,Parent Score,Plan Weight,Property,Property 1,Property 2,Proposal Link,Reports Gathered,Score,Score Notes,Score Status,Score Type,Spot Check Completed,Storage Weight,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores,Summary Weight,Summary Weight link
Hero Score,,,,,,,,,,,,,HERO_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,,,,,,,Featuring Score (Council%208/Council%20Period%208/Featuring%20Score%2078d0ac649bdd4ecdb0bbd2cc9750b1a3.md),,,,,,No,,,Completed,,No,,,,,,,
Inadequate Report,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,,HR,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#inadequate-report,,,,,,,,,,,,,,No,0,,Completed,,No,,,,,,,
WG Opportunities,"Grade, Spot Check, Subscore",,,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,,,,,,,,,,,,,No,0.5,,Completed,Subscore,No,,,,,,,
Forum Report,"Document, Forum Post, Grade, Subscore",,,,,,,,,,,,REPORT_SCORE,Forum,,,,,,,,,,Forum Score (Council%208/Council%20Period%208/Forum%20Score%207514c5412b6844008461680aece46c56.md),,,,,,No,0.2,Incorrect Data,Completed,,No,,,,,,,
Logging does not occur,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#catastrophic-errors,,,,,,,,Content Score (Council%208/Council%20Period%208/Content%20Score%20fbbf648d080345a5bf8ecfab6eddd357.md),,,,,,No,,,Completed,,No,,,,,,,
Upgrading non-Jsgesnesis runtime,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#upgrading-non-jsgenesis-runtime,,,,,,,,,,,,,,No,0,,Completed,Subscore,No,,,,,,,
Member Faucet Empty,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#member-faucet-empty,,,,,,,,,,,,,,No,0,,Completed,Subscore,No,,,,,,,
WG Period Plan,"Document, Forum Post, Grade, Subscore",,,,,,,,,Yes,,,PLAN_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,,,,,,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%202be0ff03678d4442bd8aa265c8e15c00.md),,,,,,No,0,No Submission found (at all),Completed,Subscore,No,,,,,,,
Response Score,,,,,,,,,,,,,RESPONSE_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,,,,,,,,Moderation Score (Council%208/Council%20Period%208/Moderation%20Score%20b9e1c38dc1bd41ddb8a16377c511fae2.md),,,,,,No,,,Completed,,No,,,,,,,
WG Summary,"Document, Forum Post, Grade",,,,,,,,https://dao.joystream.org/#/forum/thread/135,Yes,,,SUMMARY_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,,,,"Working Group Summary (https://www.notion.so/Working-Group-Summary-aacb137332304040be63488e6b52d614?pvs=21) ",,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%204ad0d5b57e0e45f28e0acfab1a98f903.md),,,,,,No,0.95,Forum post did not include markdown,Completed,Subscore,No,,846178,1653153786000,,,,
Violation of Content Policy,Catastrophic Errors,,,,,,,,,,,,,Forum,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#catastrophic-errors,,,,,,,,,,,,,,No,0,,Completed,,No,,,,,,,
Storage Report,"Document, Forum Post, Grade",,,,,,,,,Yes,https://dao.joystream.org/#/forum/category/13,,REPORT_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#report_score,,,,,,,,Storage Score (Council%208/Council%20Period%208/Storage%20Score%20252ea415198d48d78beeb34b391b9f6f.md),,,,,,No,0.9,Basically Perfect,Completed,Subscore,No,,,,,,,
