Name,Attributes,Builder Weight,Content Weight,Deadline (Local Time),Deadline [block],Deadline timestamp,Distributor Weight,Effective Deadline,Forum Link,Forum Post Required?,Forum Report Source,Forum Weight,Grade Name,Group,HR Weight,Handbook Link,Handover Weight,Lead Opportunities Weight,Marketer Weight,Marketing Weight,Notion Link,Notion Source Link,Opportunity Target,Parent Score,Plan Weight,Property,Property 1,Property 2,Proposal Link,Reports Gathered,Score,Score Notes,Score Status,Score Type,Spot Check Completed,Storage Weight,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores,Summary Weight,Summary Weight link
Total Breaches of Policy,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,TOTAL_BREACHES_OF_POLICY,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,,,,,,,,Moderation Score (Council%208/Council%20Period%208/Moderation%20Score%20b9e1c38dc1bd41ddb8a16377c511fae2.md),,,,,,No,,,Completed,,No,,,,,,,
WG Period Plan,"Document, Forum Post, Plan",,,,,,,,,,,,PLAN_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,,,,"WORKING GROUP PLAN (https://www.notion.so/WORKING-GROUP-PLAN-2aea5537765c414ca029dfcdc2015efd?pvs=21) ",,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%200add7c6b293542c09bc64d4744c1e3d2.md),,,,,,No,0.4,"Forum post did not include markdown, Late submission",Completed,,No,,,,"May 21, 2022 9:56 PM (GMT+1)",,,
On chain Budget and Opening proposals without JOY equivalent,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#on-chain-budget-and-opening-proposals-without-joy-equivalent,,,,,,,,,,,,,,No,,,Completed,Subscore,No,,,,,,,
Network Performance Score,"Composite Grade, Overall Grade",,,,,,,,,,,,NETWORK_PERFORMANCE_SCORE,Network,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,,,,,,,,,,,,,,No,0.623,,Completed,,No,,,,,"Builder Score (Council%208/Council%20Period%208/Builder%20Score%2036d89cfdf7ba4fa8b11bf29a2719c891.md), Content Score (Council%208/Council%20Period%208/Content%20Score%20fbbf648d080345a5bf8ecfab6eddd357.md), Distributor Score (Council%208/Council%20Period%208/Distributor%20Score%2060a38ed6753f49ed86214e68c96602e9.md), Storage Score (Council%208/Council%20Period%208/Storage%20Score%20252ea415198d48d78beeb34b391b9f6f.md), HR Score (Council%208/Council%20Period%208/HR%20Score%20fbd6395d4fc64558ae4b90f7129c5225.md), Council Period Summary (Council%208/Council%20Period%208/Council%20Period%20Summary%20651bccc1cfc440f7bb015030f1c24f97.md), Council Period Plan (Council%208/Council%20Period%208/Council%20Period%20Plan%203f8f1ce826864447a06caa6f92558ae8.md), Lead Opportunities (Council%208/Council%20Period%208/Lead%20Opportunities%206bf18aa6a58347bcb02b240d6916dc72.md)",,
General WG Score,Composite Grade,,,,,,,,,,,,GENERAL_WG_SCORE,Builders,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,,,,,,,,Builder Score (Council%208/Council%20Period%208/Builder%20Score%2036d89cfdf7ba4fa8b11bf29a2719c891.md),,,,,,No,0.667,,Completed,Subscore,No,,,,,"WG Period Plan (Council%208/Council%20Period%208/WG%20Period%20Plan%207e803563cdbd4d698f8098dc741f6e00.md), WG Summary (Council%208/Council%20Period%208/WG%20Summary%201ffe699b7ffd4bf9a2b3f654a33a6877.md), WG Opportunities (Council%208/Council%20Period%208/WG%20Opportunities%2014289622e72c47dbb1d7249d6131bdf6.md)",,
WG Summary,"Document, Forum Post, Grade, Subscore, Summary",,,,,,,,,Yes,,,SUMMARY_SCORE,Forum,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,,,,,,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%203fdfb7f760f647b2b7cde6384c758d7f.md),,,,,,No,0,"Incomplete (Did not fulfill all requirements), Incorrect Data",Completed,,No,,,,,,,
Failure to apply moderation rules,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#failure-to-apply-moderation-rules,,,,,,,,Content Score (Council%208/Council%20Period%208/Content%20Score%20fbbf648d080345a5bf8ecfab6eddd357.md),,,,,,No,1,,Completed,,No,,,,,,,
Categories Score,,,,,,,,,,,,,CATEGORIES_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#scoring-calculations,,,,,,,,Featuring Score (Council%208/Council%20Period%208/Featuring%20Score%2078d0ac649bdd4ecdb0bbd2cc9750b1a3.md),,,,,,No,,,Completed,,No,,,,,,,
WG Opportunities,"Grade, Spot Check, Subscore",,,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,,,,,,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%204ad0d5b57e0e45f28e0acfab1a98f903.md),,,,,,No,1,,Completed,,No,,,,,,,
Distributors Report,"Document, Forum Post, Grade, Subscore",,,,,,,,,,https://dao.joystream.org/#/forum/category/15,,REPORT_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#report_score,,,,,,,,Distributor Score (Council%208/Council%20Period%208/Distributor%20Score%2060a38ed6753f49ed86214e68c96602e9.md),,,,,,No,0.9,Basically Perfect,Completed,Subscore,No,,,,,,,
WG Summary,"Document, Forum Post, Grade, Subscore",,,,,,,,https://dao.joystream.org/#/forum/thread/142,Yes,,,SUMMARY_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,,,,,,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%202be0ff03678d4442bd8aa265c8e15c00.md),,,,,,No,0,No Submission found (at all),Completed,Subscore,No,,,,,,,
Storage Score,Composite Grade,,,,,,,,,,,,STORAGE_SCORE,Storage,,,,,,,,,,Network Performance Score (Council%208/Council%20Period%208/Network%20Performance%20Score%2095345cdb313b4fd29db82fcae59e4bef.md),,,,,,No,0.711,,Completed,Main Score,No,,,,,"Uploads (Council%208/Council%20Period%208/Uploads%201b3420bd05334fc2a62a9029e1a51639.md), General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%202be0ff03678d4442bd8aa265c8e15c00.md), Maintenance (Council%208/Council%20Period%208/Maintenance%2047b3a295bf8342668559e36c5cfaad4e.md), Storage Report (Council%208/Council%20Period%208/Storage%20Report%207713b0396c674f6ea09416429c234993.md)",,
WG Opportunities,"Grade, Spot Check, Subscore",,,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,,,,,,,"General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%202be0ff03678d4442bd8aa265c8e15c00.md), General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%20e2c4a80cb0994b98828ce369aec17465.md)",,,,,,No,0.2,,Completed,Subscore,No,,,,,,,
Category Score,,,,,,,,,,,,,CATEGORY_SCORE,Forum,,,,,,,,,,,,,,,,No,0,"Incomplete (Did not fulfill all requirements), No Submission found (at all)",Completed,,No,,,,,,,
Moderation Score,,,,,,,,,,,,,MODERATION_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#moderation_score,,,,,,,,Content Score (Council%208/Council%20Period%208/Content%20Score%20fbbf648d080345a5bf8ecfab6eddd357.md),,,,,,No,0.2,,Completed,,No,,,,,"Response Score (Council%208/Council%20Period%208/Response%20Score%20902ee9ae93a342569e6523d759a002be.md), Total Breaches of Policy (Council%208/Council%20Period%208/Total%20Breaches%20of%20Policy%20b321ac90b70742b480877f2449e60e28.md)",,
HR Score,Composite Grade,,,,,,,,,,,,HR_SCORE,HR,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,,,,,,,,Network Performance Score (Council%208/Council%20Period%208/Network%20Performance%20Score%2095345cdb313b4fd29db82fcae59e4bef.md),,,,,,No,0.805,,Completed,,No,,,,,"General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%204ad0d5b57e0e45f28e0acfab1a98f903.md), HR Report (Council%208/Council%20Period%208/HR%20Report%207f73cfdda9ed474bbcb2fc57b9b82a8c.md), Response Time (Council%208/Council%20Period%208/Response%20Time%206691bf8caac441d48850aa597930fce2.md), Person Logging Score (Council%208/Council%20Period%208/Person%20Logging%20Score%20f7b79b2328f44aeb819558a087808342.md), Interaction Logging Score (Council%208/Council%20Period%208/Interaction%20Logging%20Score%20b1d1d634c9c9472b87ef634716906193.md), Bounty Score (Council%208/Council%20Period%208/Bounty%20Score%2080f3815e667341da866eb0baea1a5b5e.md)",,
General WG Score,Composite Grade,,,,,,,,,,,,GENERAL_WG_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,,,,,,,,Content Score (Council%208/Council%20Period%208/Content%20Score%20fbbf648d080345a5bf8ecfab6eddd357.md),,,,,,No,0.533,,Completed,,No,,,,,"WG Opportunities (Council%208/Council%20Period%208/WG%20Opportunities%20089501fb12d44dd79eb041a2d95760b1.md), WG Summary (Council%208/Council%20Period%208/WG%20Summary%207098a6bb54df497981feea6c40350823.md), WG Period Plan (Council%208/Council%20Period%208/WG%20Period%20Plan%2001a57fd5ff3c4e609aa59ecedea07456.md)",,
Council Parameters,,,,,,,,,,,,,,JSG,,,,,,,,,,,,,,,,No,,,Completed,,No,,,,,,,
Response Time,,,,,,,,,,,,,RESPONSE_TIME_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#response_time_score,,,,,,,,HR Score (Council%208/Council%20Period%208/HR%20Score%20fbd6395d4fc64558ae4b90f7129c5225.md),,,,,,No,1,,Completed,Subscore,Yes,,,,,,,
Featuring Score,,,,,,,,,,,,,FEATURING_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#featuring_score,,,,,,,,Content Score (Council%208/Council%20Period%208/Content%20Score%20fbbf648d080345a5bf8ecfab6eddd357.md),,,,,,No,0,,Completed,Subscore,No,,,,,"Logging Score (Council%208/Council%20Period%208/Logging%20Score%205fd9c403a89448f6b010e9047df63d62.md), Hero Score (Council%208/Council%20Period%208/Hero%20Score%203006e55aa2a948baa637f2867dc1ffb2.md), Categories Score (Council%208/Council%20Period%208/Categories%20Score%20cb3320efaf13482d93c3c8fa3ed1fba9.md)",,
Notification Score,"Grade, Spot Check",,,,,,,,,,,,NOTIFICATION_SCORE,Forum,,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#notification_score,,,,,,,,Forum Score (Council%208/Council%20Period%208/Forum%20Score%207514c5412b6844008461680aece46c56.md),,,,,,No,,,Completed,,No,,,,,,,
WG Summary,"Document, Forum Post, Grade, Subscore",,,,,,,,,,,,SUMMARY_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,,,,,,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%20d1e632e1ddfe46cdb876ac20871293d0.md),,,,,,No,0,No Submission found (at all),Completed,Subscore,No,,,,,,,
Person Logging Score,,,,,,,,,,,,,PERSON_LOGGING_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#person_logging_score,,,,,,,,HR Score (Council%208/Council%20Period%208/HR%20Score%20fbd6395d4fc64558ae4b90f7129c5225.md),,,,,,No,0.344,,Completed,Subscore,No,,,,,,,
Unwarranted deletion,Catastrophic Errors,,,,,,,,,,,,,Forum,,,,,,,,,,,,,,,,No,0,,,,No,,,,,,,
