Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,Score Type,Deadline [block],Score Status
WG Opportunities,Builders,WORKER_OPPORTUNITIES_SCORE,0.5,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,,"Grade, Spot Check, Subscore",Subscore,,Completed
Thumbnails,Distributors,THUMBNAIL_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#thumbnail_score,,Distributor Score (Council%208/Council%20Period%208/Distributor%20Score%2060a38ed6753f49ed86214e68c96602e9.md),"Grade, Spot Check, Subscore",Subscore,,Completed
WG Summary,Distributors,SUMMARY_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%20d1e632e1ddfe46cdb876ac20871293d0.md),"Document, Forum Post, Grade, Subscore",Subscore,,Completed
WG Summary,Forum,SUMMARY_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%203fdfb7f760f647b2b7cde6384c758d7f.md),"Document, Forum Post, Grade, Subscore, Summary",,,Completed
WG Period Plan,Content,PLAN_SCORE,0.4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%200add7c6b293542c09bc64d4744c1e3d2.md),"Document, Forum Post, Plan",,,Completed
WG Period Plan,HR,PLAN_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%204ad0d5b57e0e45f28e0acfab1a98f903.md),"Document, Forum Post, Plan",,,Completed
WG Period Plan,Builders,PLAN_SCORE,0.7,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%20e2c4a80cb0994b98828ce369aec17465.md),"Document, Forum Post, Grade, Plan, Subscore",Subscore,,Completed
WG Summary,Builders,SUMMARY_SCORE,0.8,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%20e2c4a80cb0994b98828ce369aec17465.md),"Document, Forum Post, Grade, Subscore, Summary",Subscore,,Completed
Content Report,Content,REPORT_SCORE,0.2,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#report_score,,Content Score (Council%208/Council%20Period%208/Content%20Score%20fbbf648d080345a5bf8ecfab6eddd357.md),Forum Post,Subscore,,Completed
WG Opportunities,Forum,WORKER_OPPORTUNITIES_SCORE,0.5,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%208/Council%20Period%208/General%20WG%20Score%203fdfb7f760f647b2b7cde6384c758d7f.md),"Document, Forum Post, Grade",,,Completed
