Property,Work Hours
Palllke,0
lkskrn,1
polikosi,6
kazuyanomura,1
ivant,3.5
gyroflaw,1
freakstatic,2
secret_girl,2
BeardKoda,1
react dev,1
m00n620,0
isonar (Lead activities only),14.5
