Property,Work Hours
isonar (Lead activities only),14.5
kazuyanomura,1
secret_girl,2
ivant,3.5
polikosi,6
lkskrn,1
freakstatic,2
react dev,1
Palllke,0
m00n620,0
gyroflaw,1
BeardKoda,1
