Name,# of Rewards Issued (CRM),BUILDER_SCORE,Blockhash (end block),Blockheight End,Blockheight End timestamp,Blockheight Start,Blockheight Start timestamp,Builder Workers (Alpha),Builders Weight,CONTENT_SCORE,COUNCIL_tJOY_REWARD (per CM),COUNCIL_tJOY_REWARD (total),Catastrophic errors,Content WG reward ($tJOY),Content Weight,Content Workers,Council 10 - All Tags,Council 10 - link,Council 7 - Link,Council 8 - All Tags,Council 8 - Link,Council 9 - Link,"Council Budget (Millions, $tJOY)","Council Budget Increment (Millions, $tJOY) (1)",Council Duration (seconds),Council Member reward ($tJOY),Council Period #,Council Reward ($tJOY),Council Size,DISTRIBUTOR_SCORE,Dates,Distributor Weight,Distributor Workers,Distributor reward ($tJOY),Duration Latency (seconds),End Date (Local time),FORUM_SCORE,Forum Categories (Total),Forum Posts (Total),Forum Threads (Total),Forum Weight,Forum Workers,HANDOVER_SCORE (MEETING_SCORE),HR Workers (Beta),HR reward ($tJOY),HR weight,HR_SCORE,Handover Weight,JOY_BUDGET,JOY_BUDGET (%),JOY_BUDGET (USD Equiv.),JOY_INDUCTION_THRESHOLD,JOY_INDUCTION_THRESHOLD %,JOY_VERIFICATION_THRESHOLD,JOY_VERIFICATION_THRESHOLD (%),LEAD_OPPORTUNITIES_SCORE,Lead Opportunities Weight,Link to this Council,MARKETER_SCORE,Marketer Weight,Marketing Workers,Marketing reward ($tJOY),Membership Workers,Network Score,New UGC,New UGC per hour,Next Council Link,No. of Bounties,No. of Bounty Entries,No. of Participants Rewarded (CRM),No. of Videos,PLAN_SCORE,Plan Weight,Previous Council Link,Previous UGC #,Property,Property 1,Property 2,Property 3,Property 4,Proposals (Total),Proposals Approved,Proposals Rejected,REFERREE_JOY,REFERREE_JOY ($ Equiv),REFERRER_JOY,REFERRER_JOY ($ Equiv),Referral $JOY Bonus %,Related to Council Period 6 (Scoring Weights),Related to Council Period 7 (Scoring Weights),Revealed Votes,STORAGE_SCORE,SUMMARY_SCORE,Score Results Link,Start Date (Local time),Storage Weight,Storage Workers,Storage reward ($tJOY),Summary Weight,Tags,Term Length (Blocks),Total $tJOY earned (CRM),Total Candidates,Total Channels,"Total Issuance (Billions, $tJOY)",Total Memberships,Total UGC,Total Votes,Total Workers,USD_SUBSIDY,Unverified JOY Accumulation,Validator reward ($tJOY),tJOY_BUDGET
Council 1,,0.1,0x1016559885b6a8ba0416e3c0635cf48c9c7060f0be506fa2b028693e17c649c4,144000,1648920618000,43200,1648303482000,5,,0.1,,,,,,3,,,,,,,"19,496,000","5,000,000",617160,,1,1,5,0.487,"March 26, 2022 3:04 PM (GMT+1) → April 2, 2022 6:30 PM (GMT+1)",,10,,12360,"April 2, 2022 6:30 PM",0.073,27,68,23,,1,,8,,,1,,0..06%,,,,,,,,,Council 1 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%201%20c547aec318dc4ce9a513f03c61f23366.csv),,,4,,1,0.396,6785,40.386904761905,Council 2 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%202%205c415d6e89134767af1810f6a82050e4.csv),8,6,,"26,211",,,Council 0 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%200%20dd6b3e46d7094b55b57cba10040904ac.csv),25508,"March 26, 2022 2:04 PM (UTC) → April 2, 2022 5:30 PM (UTC)",,Council 1,,Council 1,41,32,2,,,,,,,,19,0.3125,,,"March 26, 2022 3:04 PM",,6,,,Graded,100800,,13,"2,310",3.2835,"3,599",32293,31,43,,,,"48,000,000"
Council 2,,0.827,0x2a6964980e9203b5d56173449bae3476b3315fddcf9354fc994d673cea69ff26,244800,1649532984000,144000,1648920618000,6,5,0.03,,,,,2,2,,,,,,,"8,000,000","8,000,000",612360,,2,132,5,0.86,"April 2, 2022 6:30 PM (GMT+1) → April 9, 2022 8:36 PM (GMT+1)",6,10,,7560,"April 9, 2022 8:36 PM",0.8,27,105,28,0,1,,7,,3,0.49,0,1000000 (0.1%),0.1%,"$60,000.00",,,,,,0,Council 2 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%202%205c415d6e89134767af1810f6a82050e4.csv),,1,6,,1,0.586,127,0.755952380952,Council 3 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%203%20e30137bf82544612b39e61c7be87471d.csv),10,8,,"26,229",,1,Council 1 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%201%20c547aec318dc4ce9a513f03c61f23366.csv),32293,"April 2, 2022 5:30 PM (UTC) → April 9, 2022 7:36 PM (UTC)",,Council 2,,Council 2,73,30,0,,,,,,,,11,0.37,,,"April 2, 2022 6:30 PM",5,6,,1,Graded,100800,,9,"2,321",3.346,"3,619",32420,24,44,"$2,000.00",,,"80,000,000"
Council 6,,0.613,0x33a186c3ad4ae0617549f03609cb57fe3062d7729987e35ce278c8349415637a,648000,1651962618000,547200,1651357044000,8,4,0.188,"3,024,000","15,120,000",,,2,2,,,,,,,"20,140,000","8,000,000",605580,,6,55,5,0.609,"April 30, 2022 11:17 PM (GMT+1) → May 7, 2022 11:30 PM (GMT+1)",3,13,,780,"May 7, 2022 11:30 PM",,27,225,97,0,2,0.5,7,,4,0.83,1,"2,500,000 (0.25% ~USD 150,000)",0.25%,"$150,000.00","$15,000.00",,,,0.25,1,Council 6 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%206%2089067a983ab549d79c8ff0d43bab97f0.csv),,0,8,,1,0.612,216,1.285714285714,Council 7 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207%207f116be5a8f54180abd97510bc5cfbc7.csv),28,26,,"26,680",1,1,Council 5 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%205%20188a3d2def894ca9a69ea74ace9767c6.csv),33549,"April 30, 2022 10:17 PM (UTC) → May 7, 2022 10:30 PM (UTC)",,Council 6,,Council 6,156,16,2,1000 (~USD 60),$60.00,1000 (~USD 60),$60.00,,,,14,0.502,1,,"April 30, 2022 11:17 PM",3,8,,1,Graded,100800,,9,"2,600",3.4914,"3,926",33765,16,54,"$2,250.00",,,"100,000,000"
Council 3,,0.692,0x536195dc54e63d189a76513c53b6e9501b7de73af9181b770ec89dbe9a515ab7,345600,1650139044000,244800,1649532984000,5,5,0.175,,"10,000,000",,,2,2,,,,,,,"12,920,000","8,000,000",606060,,3,20,5,0.84,"April 9, 2022 8:36 PM (GMT+1) → April 16, 2022 8:57 PM (GMT+1)",6,11,,1260,"April 16, 2022 8:57 PM",0.7,27,130,40,0,1,,7,,3,0.494,0,"1,000,000 (0.1% ~USD 60,000)",0.1%,"$60,000.00","$15,000.00",,,,,0,Council 3 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%203%20e30137bf82544612b39e61c7be87471d.csv),,1,6,,1,0.565,113,0.672619047619,Council 4 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%204%20ec3c25e86a2c4d7ea8c370931ee10068.csv),12,8,,"26,249",,1,Council 2 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%202%205c415d6e89134767af1810f6a82050e4.csv),32420,"April 9, 2022 7:36 PM (UTC) → April 16, 2022 7:57 PM (UTC)",,Council 3,,Council 3,102,26,1,,,,,,,,15,0.48125,,,"April 9, 2022 8:36 PM",5,8,,1,Graded,100800,,7,"2,331",3.3941,"3,634",32533,18,46,"$2,000.00",,,"80,000,000"
Council 4,,0.433,0x065b85d3e77a58043c058f70700dd0c8b453d7221fe3fe64fb2972f72a63dc91,446400,1650750480000,345600,1650139044000,6,4,0.2,"2,016,000","10,080,000",,,2,2,,,,,,,"20,840,000","8,000,000",611460,,4,20,5,0.749,"April 16, 2022 8:57 PM (GMT+1) → April 23, 2022 10:48 PM (GMT+1)",5,13,,6660,"April 23, 2022 10:48 PM",0.925,27,152,54,1,1,0.9,8,,4,0.529,1,"2,000,000 (0.2% ~USD 120,000)",0.2%,"$120,000.00","$15,000.00",,,,0,1,Council 4 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%204%20ec3c25e86a2c4d7ea8c370931ee10068.csv),,0,7,,1,0.573,147,0.875,Council 5 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%205%20188a3d2def894ca9a69ea74ace9767c6.csv),15,12,,"26,304",0.75,1,Council 3 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%203%20e30137bf82544612b39e61c7be87471d.csv),32533,"April 16, 2022 7:57 PM (UTC) → April 23, 2022 9:48 PM (UTC)",,Council 4,,Council 4,114,10,1,1000 (~USD 60),$60.00,1000 (~USD 60),$60.00,,,,8,0.575,0.3,https://github.com/Joystream/founding-members/blob/main/council-scoring-period-results/4.md,"April 16, 2022 8:57 PM",5,8,,1,Graded,100800,,7,"2,349",3.3778,"3,653",32680,11,51,"$2,000.00",,,"90,000,000"
Council 5,,0.342,0xe2b7d464fa29470e0197822c65001a5da7e0942ff4557b325a3c86d2a04e6482,547200,1651357044000,446400,1650750480000,6,4,0.021,"3,024,000","15,120,000",,,2,2,,,,,,,"17,760,000","8,000,000",606540,"10,080,000",5,20,5,0.629,"April 23, 2022 10:48 PM (GMT+1) → April 30, 2022 11:17 PM (GMT+1)",5,13,"6,500,000",1740,"April 30, 2022 11:17 PM",,27,189,76,1,1,0.6,8,,4,0.367,1,"2,250,000 (0.225% ~USD 135,000)",0.225%,"$135,000.00","$15,000.00",,,,0,1,Council 5 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%205%20188a3d2def894ca9a69ea74ace9767c6.csv),,0,9,,1,0.447,869,5.172619047619,Council 6 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%206%2089067a983ab549d79c8ff0d43bab97f0.csv),22,17,,"26,618",1,1,Council 4 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%204%20ec3c25e86a2c4d7ea8c370931ee10068.csv),32680,"April 23, 2022 9:48 PM (UTC) → April 30, 2022 10:17 PM (UTC)",,Council 5,,Council 5,138,19,1,1000 (~USD 60),$60.00,1000 (~USD 60),$60.00,,,,15,0.525,1,https://github.com/Joystream/founding-members/blob/main/council-scoring-period-results/5.md,"April 23, 2022 10:48 PM",5,8,"7,127,253",1,Graded,100800,,10,"2,566",3.4238,"3,896",33549,18,53,"$2,200.00",,"26,980,886","80,000,000"
Council 0,,,0x527e682d53262fa9fd7e3d5a5d8267633723b87402915cf21ae3314dd4d9ac83,43200,1648303482000,1,1648042188007,0,,,,,,,,0,,,,,,,"15,000,000","5,000,000",261300,,0,1,5,,"March 23, 2022 2:29 PM (GMT+1) → March 26, 2022 3:04 PM (GMT+1)",,0,,-343500,"March 26, 2022 3:04 PM",,0,0,0,,0,,0,,,,,,,,,,,,,,Council 0 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%200%20dd6b3e46d7094b55b57cba10040904ac.csv),,,0,,0,,25508,151.833333333333,Council 1 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%201%20c547aec318dc4ce9a513f03c61f23366.csv),1,0,,"19,999",,,,,"March 23, 2022 5:29 PM (GMT+4) → March 26, 2022 6:04 PM (GMT+4)",,Council 0,,Council 0,2,0,0,,,,,,,,32,,,,"March 23, 2022 2:29 PM",,0,,,,43199,,22,"1,999",3.1005,"3,507",25508,47,5,,,,
Council 7,58,0.533,0xe40bc007f5240065f41b804ae9b27bcdeebd8abec4c757c6cd649789e2ae328d,748800,1652568672000,648000,1651962618000,7,4,0.452,"3,024,000","15,120,000",,,2,2,,,"Builder Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Builder%20Score%207f23de81598942558b91be6c52c1f4af.csv), Content Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Content%20Score%20509cf368d57b4c37aaad9e7f377ee1c3.csv), Distributor Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Distributor%20Score%2076c92f0fbe3e4590bd3e26d8c30de8bd.csv), Storage Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Storage%20Score%20bdef29f3ae2143378688c425c8a12f94.csv), HR Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/HR%20Score%20d203f1ecbf2549489aac1d675ced3ea2.csv), Forum Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Forum%20Score%2078bf7c7d83c745689ed17c18cbd1df3d.csv), Marketing Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Marketing%20Score%203ee0f8f1bdce4e09b88d31c498b4d55a.csv), Network Performance Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Network%20Performance%20Score%20a1bd8a1f2a1d47608d8fe7b2fda9a696.csv), No available sources for data object (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/No%20available%20sources%20for%20data%20object%2044b3b26bc03e4e43b0fb2eb64e1ef013.csv), WG Opportunities (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/WG%20Opportunities%201c6f6ffd1c814988aff22c9de4502075.csv), General WG Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/General%20WG%20Score%201f4037cc3e69488cb9663a1e0036dcda.csv), Hero Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Hero%20Score%2020567c324cef40ccb6ba0d067462f8ef.csv), Total $tJOY exceeds tJOY_BUDGET (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Total%20$tJOY%20exceeds%20tJOY_BUDGET%20311a2d1e11d0442c902b6387dbdca445.csv), Missing Judgement (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Missing%20Judgement%206ca228f8ba8a44faa73b79d3cd2baa48.csv), Block time too low (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Block%20time%20too%20low%209b9d7b8dd6624e188117498d5e65a65a.csv), Moderation Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Moderation%20Score%2056bbe3dc288b4e22ae3f56bd7bd25014.csv), Lead Opportunities (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Lead%20Opportunities%2089f34dced98549cb912eb55b32d1259c.csv), Upgrade Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Upgrade%20Score%20280d8d8c8c14475e8c5599ad85378696.csv), Upgrade Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Upgrade%20Score%2042d1f2917ea84dc690b0ba2928e04ea2.csv), General Development (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/General%20Development%20060b1035137c463e9fcbb7b1cf6a714d.csv), Upgrading non-Jsgesnesis runtime (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Upgrading%20non-Jsgesnesis%20runtime%20228ae894c0c84727bbfe686450e20ead.csv), Member Faucet Empty (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Member%20Faucet%20Empty%202a8f4a97061545bcb6a1cef56d7da28d.csv), Violation of Content Policy (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Violation%20of%20Content%20Policy%203420a042cd3f4016bfd89ca99a8fbb3f.csv), Category Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Category%20Score%20cf01695b86e7474cbe3217c4e92a273e.csv), Interaction Logging Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Interaction%20Logging%20Score%2001b8f1f0a658482c913f689c392a34da.csv), Logging Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Logging%20Score%200293290d29b74b00971020e684b294a4.csv), WG Opportunities (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/WG%20Opportunities%20040c8e0c8a274560a69b76263a1439eb.csv), Council Daily Sync (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Council%20Daily%20Sync%200767e98f70d54dba9ff76523e5885132.csv), Inadequate Report (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Inadequate%20Report%200fa6767fc0094e058191068c7c8b7ed8.csv), Response Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Response%20Score%202c04c69d3cdc4da69c0b63025ac179dd.csv), Logging does not occur (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Logging%20does%20not%20occur%2023d21a9a85ca4de782e4616dadf73d7c.csv), Featured Content Unplayable (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Featured%20Content%20Unplayable%203fef43d260a7442ebb950623e175faf8.csv), General WG Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/General%20WG%20Score%204cc96e8d350741f3ba90d47b7fe40188.csv), Person Logging Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Person%20Logging%20Score%20f7809bdd2d224f7ca05384178a86c747.csv), Thumbnails (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Thumbnails%20029b932264d24c5589580eb37b5c3824.csv), WG Opportunities (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/WG%20Opportunities%2047591fdf0860437b961b67dc0f0f662f.csv), Incorrect Reporting (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Incorrect%20Reporting%206ab3910c3d774567ab87af84a713eba0.csv), Failure to apply moderation rules (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Failure%20to%20apply%20moderation%20rules%20a92dca699e624b68a417be406aa07861.csv), Categories Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Categories%20Score%20ac14a6f5d02f4e65b02e192e9a54514e.csv), Permanent Data Object Loss (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Permanent%20Data%20Object%20Loss%208d9544a71aad415fa8b27fbd87a16f65.csv), Total Breaches of Policy (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Total%20Breaches%20of%20Policy%2094c23382a9ae49ae9fab9205699b7936.csv), Notification Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Notification%20Score%20d89c963b703246a0923ae88f89c9a7d4.csv), Storage Report (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Storage%20Report%203780f9a6e5104e39929b5714d5f1391c.csv), Pioneer Development (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Pioneer%20Development%205939ed92680d42f6a6a6848a5b6a4eac.csv), Testing (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Testing%2048fe09f70fae4da1a8f8196649a2fe68.csv), WG Opportunities (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/WG%20Opportunities%20ca9828ae79c04dcca7601de97346a59f.csv), WG Opportunities (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/WG%20Opportunities%20ba6109baa358478ba151c3b6005c76f3.csv), Builders Report (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Builders%20Report%20012807751b93492ea076d87caa78b624.csv), WG Opportunities (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/WG%20Opportunities%20686680faab224456bc28d55bda5ff11e.csv), Missed runtime upgrade (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Missed%20runtime%20upgrade%206a5b6bcbed424e86a29b53354013b647.csv), On chain Budget and Opening proposals without JOY equivalent (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/On%20chain%20Budget%20and%20Opening%20proposals%20without%20JOY%20%209df859862fb243c1be2a9dcb7c5fa868.csv), WG Summary (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/WG%20Summary%202b5b001d3d574228b4e391fbcd9d828b.csv), WG Summary (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/WG%20Summary%20f759cf8d5d6748d5ad0ef0bc3034df88.csv), WG Summary (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/WG%20Summary%20bc3095fc854d4184b9156237f6178715.csv), WG Summary (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/WG%20Summary%20bf9ae7112ac84cb0809fada5260a5d4f.csv), WG Period Plan (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/WG%20Period%20Plan%209bac77b24dd04f849b3eda87ff8de061.csv), WG Period Plan (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/WG%20Period%20Plan%202fbbc5ca30b744f787ef3da73eab3cbb.csv), WG Period Plan (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/WG%20Period%20Plan%20a2953373d97c4ead8bc42a75adde1040.csv), WG Period Plan (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/WG%20Period%20Plan%206556f06829a7459a959e679eeada6e2d.csv), WG Period Plan (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/WG%20Period%20Plan%200d920b2168034722ae9a7207322ff5f6.csv), WG Period Plan (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/WG%20Period%20Plan%207b4a339900064935a9aec8616ae9428f.csv), Forum Report (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Forum%20Report%2021dd1d64f7cd47768b40eefb42ffdb36.csv), Uploads (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Uploads%2001e2e0e1aaa84f97af8e050012068b13.csv), Distributors Report (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Distributors%20Report%20c25de10dae2444388d84a45abf23ea9b.csv), General WG Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/General%20WG%20Score%203a5e8ade60d846f48c9f99feaed17f56.csv), General WG Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/General%20WG%20Score%209110e709cb3e4e2893cb4704c40481f6.csv), Maintena (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Maintena%2093456fb42ae74179b4fb857b1e06dffa.csv), Response Time (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Response%20Time%20d948a15bfc4143adb4450707f6123db2.csv), HR Report (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/HR%20Report%20065329194d6740729e0020c528e7c5e4.csv), Bounty Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Bounty%20Score%20309fc3bc689f4f1abdf5a0da7b7daf17.csv), General WG Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/General%20WG%20Score%20d822d7ac5c04432686f5870800f8f116.csv), Moderation Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Moderation%20Score%20d55db66c8293410ba0c831d487794e93.csv), Content Report (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Content%20Report%2043826a3f84eb4f41b51f4f60f5822be9.csv), Featuring Score (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Featuring%20Score%20e4d7bba642a840cda15d21c3b9624108.csv), Council Handover/Minutes (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Council%20Handover%20Minutes%200b64ef5f422d4f9a8aeea4ff3f12ee85.csv), Council Period Plan (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Council%20Period%20Plan%200eb5242202d04046ac74648aee53c961.csv), Council Period Summary (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207/Council%20Period%207/Council%20Period%20Summary%209cff81e3b5434b0b97ab3307746e23d4.csv)",,,,"33,180,000","8,000,000",606060,,7,30,5,0.35,"May 7, 2022 11:30 PM (GMT+1) → May 14, 2022 11:51 PM (GMT+1)",3,13,,1260,"May 14, 2022 11:51 PM",0.633,27,249,108,1,2,0.9,8,,4,0.829,1,"2,625,000 (0.2625% ~USD 157,500)",0.2625%,"$157,500.00","$15,000.00",,,,0.2,1,Council 7 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%207%207f116be5a8f54180abd97510bc5cfbc7.csv),,0,9,,1,0.514,187,1.113095238095,Council 8 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%208%205bff0b3072b444bc90e64c82509f1477.csv),31,28,41,"26,739",0,1,Council 6 (Incentives%20v3%20Scoring%20(ARCHIVE)/Council%206%2089067a983ab549d79c8ff0d43bab97f0.csv),33765,"May 7, 2022 10:30 PM (UTC) → May 14, 2022 10:51 PM (UTC)",,Council 7,,Council 7,171,11,1,1000 (~USD 60),$60.00,1000 (~USD 60),$60.00,0.00166667%,,,10,0.556,0,,"May 7, 2022 11:30 PM",3,8,,1,Graded,100800,"48,206,177",9,"2,607",3.5232,"3,992",33952,20,55,"$2,362.50",0.008333%,,"105,000,000"
