Name,Dates,Blockheight Start,Blockheight End,Term Length (Blocks),Network Score,BUILDER_SCORE,CONTENT_SCORE,STORAGE_SCORE,DISTRIBUTOR_SCORE,FORUM_SCORE,HR_SCORE,HANDOVER_SCORE (MEETING_SCORE),LEAD_OPPORTUNITIES_SCORE,PLAN_SCORE,SUMMARY_SCORE,MARKETER_SCORE,Catastrophic errors,Score Results Link,Property
Council 0,"March 23, 2022 2:29 PM (GMT+1) → March 26, 2022 3:04 PM (GMT+1)",1,43200,43199,,,,,,,,,,,,,,,"March 23, 2022 5:29 PM (GMT+4) → March 26, 2022 6:04 PM (GMT+4)"
Council 1,"March 26, 2022 3:04 PM (GMT+1) → April 2, 2022 6:30 PM (GMT+1)",43200,144000,100800,0.396,0.1,0.1,0.3125,0.487,0.073,1,,,,,,,,"March 26, 2022 2:04 PM (UTC) → April 2, 2022 5:30 PM (UTC)"
Council 2,"April 2, 2022 6:30 PM (GMT+1) → April 9, 2022 8:36 PM (GMT+1)",144000,244800,100800,0.586,0.827,0.03,0.37,0.86,0.8,0.49,,,,,,,,"April 2, 2022 5:30 PM (UTC) → April 9, 2022 7:36 PM (UTC)"
Council 3,"April 9, 2022 8:36 PM (GMT+1) → April 16, 2022 8:57 PM (GMT+1)",244800,345600,100800,0.565,0.692,0.175,0.48125,0.84,0.7,0.494,,,,,,,,"April 9, 2022 7:36 PM (UTC) → April 16, 2022 7:57 PM (UTC)"
Council 4,"April 16, 2022 8:57 PM (GMT+1) → April 23, 2022 10:48 PM (GMT+1)",345600,446400,100800,0.573,0.433,0.2,0.575,0.749,0.925,0.529,0.9,0,0.75,0.3,,,https://github.com/Joystream/founding-members/blob/main/council-scoring-period-results/4.md,"April 16, 2022 7:57 PM (UTC) → April 23, 2022 9:48 PM (UTC)"
Council 5,"April 23, 2022 10:48 PM (GMT+1) → April 30, 2022 11:17 PM (GMT+1)",446400,547200,100800,0.447,0.342,0.021,0.525,0.629,,0.367,0.6,0,1,1,,,https://github.com/Joystream/founding-members/blob/main/council-scoring-period-results/5.md,"April 23, 2022 9:48 PM (UTC) → April 30, 2022 10:17 PM (UTC)"
Council 6,"April 30, 2022 11:17 PM (GMT+1) → May 7, 2022 11:30 PM (GMT+1)",547200,648000,100800,0.612,0.613,0.188,0.502,0.609,,0.83,0.5,0.25,1,1,,,,"April 30, 2022 10:17 PM (UTC) → May 7, 2022 10:30 PM (UTC)"
Council 7,"May 7, 2022 11:30 PM (GMT+1) → May 14, 2022 11:51 PM (GMT+1)",648000,748800,100800,0.514,0.533,0.452,0.556,0.35,0.633,0.829,0.9,0.2,0,0,,,,"May 7, 2022 10:30 PM (UTC) → May 14, 2022 10:51 PM (UTC)"
Council 8,"May 14, 2022 11:51 PM (GMT+1) → May 22, 2022 12:07 AM (GMT+1)",748800,849600,100800,0.623,0.677,0.117,0.711,0.644,0.375,0.805,0.706,0.167,0.475,1,,,,"May 14, 2022 10:51 PM (UTC) → May 21, 2022 11:07 PM (UTC)"
Council 9,"May 22, 2022 12:07 AM (GMT+1) → May 29, 2022 12:23 AM (GMT+1)",849600,950400,100800,0.596,0.64,0.18,0.568,0.444,0.327,0.837,0.6,0.143,1,1,,,,"May 21, 2022 11:07 PM (UTC) → May 28, 2022 11:23 PM (UTC)"
