Name,Member ID,Reward,Worker ID
0x2bc,2098,15.0000 JOY,0
godshunter,1541,12.0000 JOY,5
mmx1916,3085,12.0000 JOY,8
maxlevush,2130,12.0000 JOY,3
yyagi,3098,12.0000 JOY,7
alexznet,2574,12.0000 JOY,2
joystreamstats,1305,12.0000 JOY,1
l1dev,515,12.0000 JOY,4
