Title,Employee ID,Employee's name
Employee ID:,16,24
Worker id,5,1
Member id,2228,1843
Employee's name:,"@Kira_skipper ","@spat_sochi "
Discord handle:,Skipper#0353,spat\_sochi#8803
Stake:,1.0000 MJOY,100.0000 kJOY
Total video verified:,28,4
Total video verified:,1,
Duplicates detected:,10,2
Incorrect licenses found:,2,1
Found unplayable videos:,100%,100%
Performance:,,
