Title,Employee ID,Employee's name
Discord handle:,Skipper#0353,spat\_sochi#8803
Total video verified:,28,4
Employee's name:,"@Kira_skipper ","@spat_sochi "
Total video verified:,1,
Stake:,1.0000 MJOY,100.0000 kJOY
Duplicates detected:,10,2
Member id,2228,1843
Worker id,5,1
Employee ID:,16,24
Performance:,,
Incorrect licenses found:,2,1
Found unplayable videos:,100%,100%
