Task name,Assignee,Due,GitHub Pull Requests,Governance Status,Parent-task,Priority,Project,Sprint,Status,Sub-tasks,Summary,Tags,Task ID,URL
outreach with Aerodrome Dex team,,,,Not started,,,Joystream <> Base bridge campaign (Joystream%20Base%20bridge%20campaign%204c2844d8d33b45869f290b5d0b17a5e6.md),,In progress,,,,GEN-172,
"prepare pre-launch announcements ",,,,Not started,,,Joystream <> Base bridge campaign (Joystream%20Base%20bridge%20campaign%204c2844d8d33b45869f290b5d0b17a5e6.md),,In progress,,,,GEN-173,
Argo bridge marketing plan,,,,Not started,,,Joystream <> Base bridge campaign (Joystream%20Base%20bridge%20campaign%204c2844d8d33b45869f290b5d0b17a5e6.md),,In progress,,,,GEN-174,
