Name,Property
,
WORKER INFO,
,
DISCORD,Khreed#3245
TELEGRAM,Khreed
EMAIL,
GITHUB USERNAME,
GITHUB LINK,
MEMBERSHIP ID,5729
MM/YY JOINED JOYSTREAM,april 2023
LANGUAGE(S) SPOKEN,english
CORE SKILLS,community support service
COUNTRY / TIMEZONE,gmt +1
EXPERIENCE,working in joystream hr
ROLE TITTLE,support specialist
,
