Worker,Performance,Remarks
ivant,🟢,All good
,,
jameswee,🟢,Was sick this week
lkskrn,🟢,All good
freakstatic,🟢,"All good, expected to start delivering next Term"
secret_girl,🟢,All good
polikosi,🟢,All good
Premium,🟢,Just joined
