Name,Amount (spending proposal),Author,Blockheight,Community Roadmap - Mainnet,Council Approvals,Date,Proposal Number,Proposal Status,Proposal Type,Tags,Text,URL,Working Group
Marketing Working Group Lead Opening,,abramaria_,501326,,1,"January 13, 2023 15:38 (GMT+1)",44,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
WGs Plan Template,,ismail,510358,,1,"January 13, 2023 16:44 (GMT+1)",45,,SignalProposalDetails,,,,
Rewards Carthage/Rhodes,,abramaria_,527933,,0,"January 13, 2023 18:08 (GMT+1)",46,,SignalProposalDetails,,,,
Fill Working Group Lead Opening,,abramaria_,511996,,1,"January 13, 2023 20:39 (GMT+1)",47,,FillWorkingGroupLeadOpeningProposalDetails,,,,
Update APP Working Group Budget,,abramaria_,515995,,1,"January 14, 2023 12:48 (GMT+1)",48,,UpdateWorkingGroupBudgetProposalDetails,,,,
Update APP Working Group Budget,,abramaria_,513982,,0,"January 14, 2023 13:20 (GMT+1)",49,,UpdateWorkingGroupBudgetProposalDetails,,,,
Update Marketing Working Group Budget,,abramaria_,515779,,1,"January 14, 2023 13:53 (GMT+1)",50,,UpdateWorkingGroupBudgetProposalDetails,,,,
Storage WG Report Submission Format,,ismail,527912,,0,"January 14, 2023 16:48 (GMT+1)",51,,SignalProposalDetails,,,,
Exchange Research,,abramaria_,528114,,1,"January 14, 2023 17:21 (GMT+1)",52,,SignalProposalDetails,,,,
MWG Lead rewards aren't correct,,ismail,544159,,1,"January 16, 2023 15:06 (GMT+1)",53,,SetWorkingGroupLeadRewardProposalDetails,,,,
Create Storage WG Lead Opening,,abramaria_,545423,,0,"January 16, 2023 16:45 (GMT+1)",54,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
Forum Working Group Lead Opening,,abramaria_,545409,,0,"January 16, 2023 16:52 (GMT+1)",55,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
