Name,Amount (spending proposal),Author,Blockheight,Community Roadmap - Mainnet,Council Approvals,Date,Proposal Number,Proposal Status,Proposal Type,Tags,Text,URL,Working Group
Lettting go of APPS WG Lead,,jen4ph,1161612,,1,"February 28, 2023 9:42 (GMT+1)",167,,TerminateWorkingGroupLeadProposalDetails,,,,
App WG Lead Opening,,0x2bc,1164671,,0,"February 28, 2023 21:10 (GMT+1)",168,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
App WG Lead Opening,,0x2bc,1166005,,1,"February 28, 2023 21:17 (GMT+1)",169,,CreateWorkingGroupLeadOpeningProposalDetails,,,,
Increase Validators Set To 35,,0x2bc,1262686,,2,"February 28, 2023 21:31 (GMT+1)",170,,SetMaxValidatorCountProposalDetails,,,,
Issuance of COE for worker Itz,,Codefi_keyz,1177652,Certificate of Employment (Archive/Community%20Roadmap%20-%20Mainnet/Certificate%20of%20Employment%2091b13c6760c347cdbd8ba493b29c26dc.md),1,"March 1, 2023 13:02 (GMT+1)",171,,SignalProposalDetails,,,,
New Discord Channel,,0x2bc,1204566,Discord (Archive/Community%20Roadmap%20-%20Mainnet/Discord%2064386cff9f8847ae8c4b10107b95ae47.md),0,"March 2, 2023 10:34 (GMT+1)",172,,SignalProposalDetails,,,,
Refill Membership budget,,0x2bc,1190172,,1,"March 2, 2023 10:53 (GMT+1)",173,,UpdateWorkingGroupBudgetProposalDetails,,,,
Compensation for founding member program,,mats4,1209605,,0,"March 2, 2023 12:08 (GMT+1)",174,,FundingRequestProposalDetails,,,,
Upgrade to Ephesus,,jsgenesis,1241122,Ephesus Runtime Upgrade (Archive/Community%20Roadmap%20-%20Mainnet/Ephesus%20Runtime%20Upgrade%20e7edd724f0d443db9406f3b2b4a25508.md),2,"March 2, 2023 17:35 (GMT+1)",175,,RuntimeUpgradeProposalDetails,,,,
Partial Refill for SWG Budget,,jen4ph,1230933,,1,"March 5, 2023 4:34 (GMT+1)",176,,UpdateWorkingGroupBudgetProposalDetails,,,,
Refill BWG Budget for Term 6,,jen4ph,1255458,,0,"March 5, 2023 4:50 (GMT+1)",177,,UpdateWorkingGroupBudgetProposalDetails,,,,
Partial Refill for CWG,,jen4ph,1230943,,1,"March 5, 2023 4:56 (GMT+1)",178,,UpdateWorkingGroupBudgetProposalDetails,,,,
Partial Refill for HR WG,,jen4ph,1230952,,1,"March 5, 2023 5:00 (GMT+1)",179,,UpdateWorkingGroupBudgetProposalDetails,,,,
Term 6 BWG Budget,,chaos77,1256669,,1,"March 5, 2023 10:40 (GMT+1)",180,,UpdateWorkingGroupBudgetProposalDetails,,,,
Notion Changes - March 2023,,tomato,1243365,Notion (Archive/Community%20Roadmap%20-%20Mainnet/Notion%2074b896d41d124b8a83374f03bd07e33b.md),1,"March 6, 2023 1:40 (GMT+1)",181,,SignalProposalDetails,,,,
Council Plan Term 6,,jen4ph,1244154,,1,"March 6, 2023 5:49 (GMT+1)",182,,SignalProposalDetails,,,,
Request: Closure of #faucet Discord chan,,tomato,1262636,Discord (Archive/Community%20Roadmap%20-%20Mainnet/Discord%2064386cff9f8847ae8c4b10107b95ae47.md),1,"March 7, 2023 8:03 (GMT+1)",183,,SignalProposalDetails,,,,
Traning: Making Effective Proposals,,jen4ph,1259291,,0,"March 7, 2023 11:09 (GMT+1)",184,,SignalProposalDetails,,,,
Refill DWG Budget,,jen4ph,1263169,,0,"March 7, 2023 17:37 (GMT+1)",185,,UpdateWorkingGroupBudgetProposalDetails,,,,
Update DWG Lead salary,,0x2bc,1273163,,0,"March 8, 2023 10:16 (GMT+1)",186,,SetWorkingGroupLeadRewardProposalDetails,,,,
Refill FWG Budget,,jen4ph,1280803,,1,"March 8, 2023 19:52 (GMT+1)",187,,UpdateWorkingGroupBudgetProposalDetails,,,,
Update MWG Budget,,leet_joy,1283191,,0,"March 9, 2023 2:59 (GMT+1)",188,,UpdateWorkingGroupBudgetProposalDetails,,,,
OKR process,,0x2bc,1300722,OKRs (Archive/Community%20Roadmap%20-%20Mainnet/OKRs%205b48144cdb42419f8da5e442a127876a.md),0,"March 9, 2023 11:00 (GMT+1)",189,,SignalProposalDetails,,,,
"Make Council Feedback category on Forum ",,0x2bc,1299905,Forums (Archive/Community%20Roadmap%20-%20Mainnet/Forums%201bf1d86bf7c34a5abe29fb0457ae6b09.md),0,"March 9, 2023 22:38 (GMT+1)",190,,SignalProposalDetails,,,,
Content Rewards Policy,,igrex,1308346,Devise Content Rewards Policy (Archive/Community%20Roadmap%20-%20Mainnet/Devise%20Content%20Rewards%20Policy%2037bba01d2a49494fac7fcfefb1b1a936.md),0,"March 10, 2023 20:55 (GMT+1)",191,,SignalProposalDetails,,,,
Refill HR budget,,0x2bc,1315338,,1,"March 10, 2023 22:59 (GMT+1)",192,,UpdateWorkingGroupBudgetProposalDetails,,,,
"Refill Content WG budget ",,0x2bc,1315327,,1,"March 10, 2023 23:02 (GMT+1)",193,,UpdateWorkingGroupBudgetProposalDetails,,,,
Refill Storage WG Budget,,0x2bc,1315292,,1,"March 10, 2023 23:06 (GMT+1)",194,,UpdateWorkingGroupBudgetProposalDetails,,,,
