Name,Areas,Date Submitted,External Resources,Forum Threads,Proposals,Status,Type
Notion,"Documentation, Notion",,,,Notion Changes - March 2023 (Archive/Proposals/Notion%20Changes%20-%20March%202023%204595f67e1d0d4ff2aab7f3df6caf0844.md),Pre-proposal discussion,Request
Reporting Cycle,"Council, Governance, Reports",,,,"Reporting Cycle (Archive/Proposals/Reporting%20Cycle%20b81863053405403ea4e127b10259b7fe.md), Change in Reporting Cycle (Archive/Proposals/Change%20in%20Reporting%20Cycle%204b4cb2212d534178917f6efff38f4a62.md)",,Process
Rewards Carthage/Rhodes,"Rewards, Testnets",,,,,,pre-proposal
UPDATE BWG Lead's Salary To <0.01,"Builders, Rewards, Working Groups",,,,,Pre-proposal discussion,pre-proposal
Council Term Report Template,"Council, Documentation, Governance, Reports, Templates",,,,,Pre-proposal discussion,pre-proposal
DEPUTY FOR EVERY WG,Working Groups,,,,,,pre-proposal
Jan 2022 - Validator Count Increase,Validators,,,,,Pre-proposal discussion,pre-proposal
Community Repo Refresh,"Builders, Community-Repo, Council, Documentation, Github, Governance, HR",,,,,,pre-proposal
Joystream DAO Crew³ Marketing Campaign,"Marketing, Promotions",,,,,Pre-proposal discussion,pre-proposal
Storage WG Report Draft,"Reports, Storage, Templates, Working Groups",,,,,Pre-proposal discussion,pre-proposal
Twitter Bot for Proposals,"Bots, Builders, Communications, Marketing, Proposals, Social Media",,,,,Pre-proposal discussion,pre-proposal
Forum Working Group Report Template,"Forum, Reports, Templates, Working Groups",,,,,,pre-proposal
Forum Rewards,"Content, Forum, Funding, Rewards, Thread",,,,,Pre-proposal discussion,pre-proposal
Idea: Generalized Content Uploader,"Builders, Content, Features, Tooling",,,,,Pre-proposal discussion,pre-proposal
Pioneer Product Priorities Mid Term,"Builders, Design, JSG, Priorities, Products",,,,,Approved,Proposal
Devise Content Rewards Policy,"Atlas, Content, Council, JSG, Policies, Products, Rewards, Working Groups",,,,Content Rewards Policy (Archive/Proposals/Content%20Rewards%20Policy%201355bd25565f45fd9b01f61d94888bff.md),Under Vote,Policy
Council Secretary Role,,,,,,Approved,Proposal
Council Term Report Template,"Council, Governance, Plans & Reports, Templates",,,,"New Council Term Report Template (Archive/Proposals/New%20Council%20Term%20Report%20Template%202a9fbb71bb6d406d98196d20071eacaa.md), Council Term Report Template (Archive/Proposals/Council%20Term%20Report%20Template%2062d8e9db58b54d8b90445bf52dcf5dc9.md), New Council Term Report Template (Archive/Proposals/New%20Council%20Term%20Report%20Template%20b62acec8ae524b52a89ea66821120ac2.md)",Approved,Template
Council Term Plan Template,"Council, Governance, Plans & Reports, Templates",,,,"New Council Term Plan Template (Archive/Proposals/New%20Council%20Term%20Plan%20Template%203f30b8b6dd2445e998299c7809e1fde3.md), New Council Term Plan Template (Archive/Proposals/New%20Council%20Term%20Plan%20Template%20a975eb77a9e74fc5bf297359bded23fd.md), Council Term Plan Template (Archive/Proposals/Council%20Term%20Plan%20Template%20ec92f2a40c8546829e85807ba0592aaa.md)",Under Vote,Template
Gateways' Development Roadmap,,,,,,,Proposal
Slow down on hiring new personnel,,,,,,,"Proposal, Request"
Certificate of Employment,"HR, Hiring, Templates",,,,"Certificate of Employment (Archive/Proposals/Certificate%20of%20Employment%202151dd63048f4392a42c093aabfaf4b1.md), Issuance of COE for worker Itz (Archive/Proposals/Issuance%20of%20COE%20for%20worker%20Itz%20a9378bb89c3d4179811be85d3ae83b25.md)",Expired,Template
#Membership Channel on Discord,"Discord, External Tooling",,,,,Approved,"Proposal, Request"
Council Election Process Breakdown,,,,,,Rejected,Process
Implement Council Candidacy Interview,"Council, Elections",,,,,Expired,Process
,,,,,,,Process
#Verification - READ-ONLY CHANNEL,External Tooling,,,,,Approved,"Proposal, Request"
Change In Reporting Cycle,"Cycles, Governance, Plans & Reports",,,,,Approved,Proposal
Lead Bonuses And WGs KPIs,,,,,,Rejected,Proposal
HR Monitor Worker Salaries,,,,,,Rejected,"Duty, Proposal"
Joystream DAO Marketing WG Plan,"Marketing, Plans & Reports",,,,,Approved,WG Plan
Assign Correct Discord Role To WG Leads,"Discord, External Tooling, JSG",,,,,Approved,"Proposal, Request"
Review #Council-Handover Channel,"Discord, External Tooling",,,,,Approved,"Proposal, Request"
Create Main Category For Validators,Forum,,,,,Approved,"Proposal, Request"
UPDATE ON WG LEADS SALARIES,Salaries,,,,,Rejected,Proposal
Crew3,"Funding, Marketing",,,,Joy Allocations For Crew3 (Archive/Proposals/Joy%20Allocations%20For%20Crew3%20dad78dd7bc3247758a5adc6685a03f06.md),,Proposal
JIP,,,,,,,JIP
Ephesus Runtime Upgrade,Runtime,,Ephesus Runtime Upgrade Risk Assessment (Archive/External%20Resources/Ephesus%20Runtime%20Upgrade%20Risk%20Assessment%20e57870f3ea384cfeb772a5c16ac9ee3e.md),,Upgrade to Ephesus (Archive/Proposals/Upgrade%20to%20Ephesus%207240c21d00cf44c3a7e74373f151eee5.md),,Runtime Upgrade
