Task name,Assignee,Due,GitHub Pull Requests,Governance Status,Parent-task,Priority,Project,Sprint,Status,Sub-tasks,Summary,Tags,Task ID,URL
Finalize design,,,,Not started,,,Tangem Campaign (Tangem%20Campaign%205d2e149f69744815882824f04aac65b0.md),,Done,,,,GEN-46,
Pin Tangem video on Gleev,,,,Not started,,,Tangem Campaign (Tangem%20Campaign%205d2e149f69744815882824f04aac65b0.md),,Done,,,,GEN-49,
Finalize contract with Tangem,,,,Not started,,,Tangem Campaign (Tangem%20Campaign%205d2e149f69744815882824f04aac65b0.md),,Done,,,,GEN-51,
https://pioneerapp.xyz/#/proposals/preview/806 for creation of co-branded wallets with Tangem,,,,Not started,,,Tangem Campaign (Tangem%20Campaign%205d2e149f69744815882824f04aac65b0.md),,Done,,,,GEN-63,
Announce design,,,,Not started,,,Tangem Campaign (Tangem%20Campaign%205d2e149f69744815882824f04aac65b0.md),,Done,,,,GEN-47,
Promote the devices once sale is live,,,,Not started,,,Tangem Campaign (Tangem%20Campaign%205d2e149f69744815882824f04aac65b0.md),,Done,,,,GEN-50,
Joystream x Tangem wallet landing page design review,,,,Not started,,,Tangem Campaign (Tangem%20Campaign%205d2e149f69744815882824f04aac65b0.md),,Done,,,,GEN-169,
Coordinate with Tangem team on marketing activities,,,,Not started,,,Tangem Campaign (Tangem%20Campaign%205d2e149f69744815882824f04aac65b0.md),,Done,,,,GEN-48,
Pay for unsold wallets,,,,Not started,,,Tangem Campaign (Tangem%20Campaign%205d2e149f69744815882824f04aac65b0.md),,In progress,,,,GEN-176,
