Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,Deadline [block],JSG Grading Status
General WG Score,Builders,GENERAL_WG_SCORE,0.563,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,"WG Period Plan (Council%2010/Council%20Period%2010/WG%20Period%20Plan%203e79e675eb2e4e9aac5869b88e29bc73.md), WG Summary (Council%2010/Council%20Period%2010/WG%20Summary%204a378e5cccfa437eb7cc91e407a8b8c8.md), WG Opportunities (Council%2010/Council%20Period%2010/WG%20Opportunities%2073005ffd21634c668bd7f0acd9362f35.md), Opening Score (Council%2010/Council%20Period%2010/Opening%20Score%206b8989ca02b7468baba9fb88565941a7.md), Bounty Score (Council%2010/Council%20Period%2010/Bounty%20Score%20cc8461e5b4a04fe1adfbb4fda8f68ea3.md)",Builder Score (Council%2010/Council%20Period%2010/Builder%20Score%20920a01e47ed84aff84356195a283787f.md),"Composite Grade, General WG Score, Subscore",,Completed
General WG Score,Forum,GENERAL_WG_SCORE,0.19,,"WG Period Plan (Council%2010/Council%20Period%2010/WG%20Period%20Plan%20c1c97529bc8a4c289be76bf669723886.md), WG Summary (Council%2010/Council%20Period%2010/WG%20Summary%204e8266b96af64455a0a2edd0fcc3d242.md), WG Opportunities (Council%2010/Council%20Period%2010/WG%20Opportunities%204e7d604e7f63495e9eab52f461bc75cd.md), Opening Score (Council%2010/Council%20Period%2010/Opening%20Score%20368b6391520542ba92154f7f51034b9d.md), Bounty Score (Council%2010/Council%20Period%2010/Bounty%20Score%20699d09071cfc40b5b8283a529049d897.md), WG Opportunities (Council%2010/Council%20Period%2010/WG%20Opportunities%202545723058c347cebcd357aabcd79169.md), Bounty Score (Council%2010/Council%20Period%2010/Bounty%20Score%203c11a561d8814e308f51a673b414b7d5.md), Opening Score (Council%2010/Council%20Period%2010/Opening%20Score%2069cc25c8eea649f9acc02d6add161522.md)",Forum Score (Council%2010/Council%20Period%2010/Forum%20Score%20a0f9828eb2814c3b9912a307c5655d0b.md),"Composite Grade, General WG Score",,Completed
General WG Score,Distributors,GENERAL_WG_SCORE,0.134,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Period Plan (Council%2010/Council%20Period%2010/WG%20Period%20Plan%20907d0c5a5a21428093f0a2817ad4aa6f.md), WG Summary (Council%2010/Council%20Period%2010/WG%20Summary%2014a78d8652044bc2859e4bca9a71f6cb.md), WG Opportunities (Council%2010/Council%20Period%2010/WG%20Opportunities%201d8744dbe49d4818a896e765d97ba831.md), Opening Score (Council%2010/Council%20Period%2010/Opening%20Score%2054d3888d43694b259d73445dba323819.md), Bounty Score (Council%2010/Council%20Period%2010/Bounty%20Score%20a7fbfea46c9740948313e4a590bd47c8.md)",Distributor Score (Council%2010/Council%20Period%2010/Distributor%20Score%20501417c8484f41d48b43e07d82170356.md),"Composite Grade, General WG Score",,Not Completed
General WG Score,Content,GENERAL_WG_SCORE,0.346,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,"WG Opportunities (Council%2010/Council%20Period%2010/WG%20Opportunities%205aa1000bcc1f4b0d98b3597ca4deca6d.md), WG Summary (Council%2010/Council%20Period%2010/WG%20Summary%2095d4acaa3b81448daec1c2b6675d9960.md), WG Period Plan (Council%2010/Council%20Period%2010/WG%20Period%20Plan%203407031b889b4dd8923e822f6152224c.md), Opening Score (Council%2010/Council%20Period%2010/Opening%20Score%20636986c5f3ed4f02ac0abedd2a6083b6.md), Bounty Score (Council%2010/Council%20Period%2010/Bounty%20Score%20950374040853458f80c70dbb6fab0842.md)",Content Score (Council%2010/Council%20Period%2010/Content%20Score%20ce2d5b2755b340a387e826969753ab5c.md),"Composite Grade, General WG Score",,Completed
General WG Score,Storage,GENERAL_WG_SCORE,0.445,,"WG Summary (Council%2010/Council%20Period%2010/WG%20Summary%202ab443d5b3e6482990febf7813e64dd3.md), WG Period Plan (Council%2010/Council%20Period%2010/WG%20Period%20Plan%20bff41ecab14c49d19931d546160e3363.md), WG Opportunities (Council%2010/Council%20Period%2010/WG%20Opportunities%2073005ffd21634c668bd7f0acd9362f35.md), Opening Score (Council%2010/Council%20Period%2010/Opening%20Score%20a078f88bb8b44f78b2fca5f6c35a7035.md), Bounty Score (Council%2010/Council%20Period%2010/Bounty%20Score%2009efaea967ef412484002247874a36b3.md)",Storage Score (Council%2010/Council%20Period%2010/Storage%20Score%20cd68026677b9495cb23d38d33a98a0bb.md),"Composite Grade, General WG Score",,Completed
WG Period Plan,Marketing,PLAN_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20857b3136c02c443d824d6266e657a70b.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",,Completed
WG Period Plan,Storage,PLAN_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%201d61814156844f98b97eb918adcba0fd.md),"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",,Completed
WG Period Plan,Content,PLAN_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20ec8c25f5f6fd4c4dbf1db3d53f29f25c.md),"Document, Forum Post, General WG Score, Plan, Proposal",,Completed
Council Period Plan,Council,PLAN_SCORE,0.8,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,,Network Performance Score (Council%2010/Council%20Period%2010/Network%20Performance%20Score%2058c408bec2fd4c1dba4159b847123c9e.md),"Document, Forum Post, Grade, Master Score, Proposal",,Completed
WG Period Plan,Builders,PLAN_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%2094a77ed584a147fead25d4c1b5a22e13.md),"Document, Forum Post, General WG Score, Grade, Plan, Proposal, Subscore",,Completed
