Title,Category,Category id,Chanel name,Comment,Create,Curator,Date,Duration,Id,If the download speed is slow when viewed / in seconds.,Language,License,License code,Mark it [!] if video is good! (Interesting/Quality),NFT,Original License,Original Link,Owner,Size,URL,Update
How to Change Channel Name,Howto & Style,12,Joystream Tutorials by Songoku,,"July 16, 2022 5:22 AM (GMT+1)",@mmsaww,"July 16, 2022",90,27059,,en,CC0,1002,,,Original video for Joystream,Original video for Joystream,songoku,18014377,https://play.joystream.org/video/27059,"July 16, 2022 5:22 AM (GMT+1)"
Tigreal Tank Gameplay - Mobile Legends,Gaming,7,Songoku Channel,,"July 14, 2022 6:18 AM (GMT+1)",@ferdikesh_studio,"July 15, 2022",543,27041,,en,CC0,1002,!,,Original video for Joystream,Original video for Joystream,songoku,564221997,https://play.joystream.org/video/27041,"July 14, 2022 6:18 AM (GMT+1)"
There was an open mic night,Entertainment,10,TheMindsUnderground,,"July 19, 2022 12:11 AM (GMT+1)",Songoku,"July 20, 2022",683,27078,,en,CC0,1002,,,Creative Commons,https://www.youtube.com/watch?v=098YPGJVSQk,infinteimaginarium,128647264,https://play.joystream.org/video/27078,"July 19, 2022 12:11 AM (GMT+1)"
Че По Космосу #14 с POST HUMAN & CryptoQ | CryptoLodes.,Science & Technology,14,CryptoLodes.,,"July 12, 2022 8:17 AM (GMT+1)",Songoku,"July 13, 2022",5225,27027,,ru,CC0,1002,,,Creative Commons,https://www.youtube.com/watch?v=T86RY-HtKy0,cryptolodes,614246614,https://play.joystream.org/video/27027,"July 12, 2022 8:17 AM (GMT+1)"
Обзор Баку,Travel & Events,6,PrettyFreak,,"July 19, 2022 4:12 PM (GMT+1)",prontera,"July 20, 2022",710,27087,,en,CC0,1002,,,Standart YouTube licence,https://www.youtube.com/watch?v=_3p4gPoh-UI&ab_channel=%D0%A7%D1%82%D0%BE%D0%B1%D1%8B%D0%BF%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80%D0%B5%D1%82%D1%8C%28Tosee%29,prettyfreak,205284077,https://play.joystream.org/video/27087,"July 19, 2022 4:12 PM (GMT+1)"
Has Cosmos blockchain been considered for the Joystream?,Science & Technology,14,MWG Official,,"July 16, 2022 9:07 AM (GMT+1)",@mmsaww,"July 16, 2022",127,27062,,en,CC0,1002,,,Original video for Joystream,Original video for Joystream,MWG,54160657,https://play.joystream.org/video/27062,"July 16, 2022 9:07 AM (GMT+1)"
How to Change Channel Name,Science & Technology,14,MWG Official,,"July 16, 2022 10:38 AM (GMT+1)",@mmsaww,"July 16, 2022",90,27071,,en,CC0,1002,,,Original video for Joystream,Original video for Joystream,MWG,18014377,https://play.joystream.org/video/27071,"July 16, 2022 10:38 AM (GMT+1)"
How to Unlist a Video in Joystream,Howto & Style,12,Change Channel Name,,"July 14, 2022 7:01 PM (GMT+1)",@ferdikesh_studio,"July 15, 2022",80,27045,,en,CC0,1002,,,Original video for Joystream,Original video for Joystream,songoku,67284165,https://play.joystream.org/video/27045,"July 14, 2022 7:01 PM (GMT+1)"
Very important question by senior founding member?,Science & Technology,14,MWG Official,,"July 16, 2022 10:23 AM (GMT+1)",@mmsaww,"July 16, 2022",253,27068,,en,CC0,1002,,,Original video for Joystream,Original video for Joystream,MWG,120386159,https://play.joystream.org/video/27068,"July 16, 2022 10:23 AM (GMT+1)"
How to Claim Bounty Reward in Joystream,Science & Technology,14,MWG Official,,"July 16, 2022 9:15 AM (GMT+1)",@mmsaww,"July 16, 2022",56,27063,,en,CC0,1002,,,Original video for Joystream,Original video for Joystream,MWG,58237695,https://play.joystream.org/video/27063,"July 16, 2022 9:15 AM (GMT+1)"
