Name,Status,Plan/report,Council Term,Forum Post
Council Term 5 plan,Submitted,Plan,5,https://pioneerapp.xyz/#/forum/thread/229?post=1017
Council Term 6 plan,Submitted,Plan,6,https://pioneerapp.xyz/#/forum/thread/229?post=1260
Council Term 5 Report,Submitted,Report,5,https://pioneerapp.xyz/#/forum/thread/230?post=1248
Council Term 6 Report,Submitted,Report,6,https://pioneerapp.xyz/#/forum/thread/230?post=1403
Council Term 7 plan,Submitted,Plan,7,https://pioneerapp.xyz/#/forum/thread/229?post=1674
Council Term 7 Report,Submitted,Report,7,https://pioneerapp.xyz/#/forum/thread/230?post=2116
Council Term 8 plan,Submitted,Plan,8,https://pioneerapp.xyz/#/forum/thread/229?post=2346
Council Term 8 Report,Submitted,Report,8,https://pioneerapp.xyz/#/forum/thread/230?post=3402
Council Term 9 Report,Submitted,Report,9,https://pioneerapp.xyz/#/forum/thread/230?post=3495
Council Term 21 Report,Submitted,Report,21,https://pioneerapp.xyz/#/forum/thread/230?post=5226
Council Term 22 Plan,Submitted,Plan,22,https://pioneerapp.xyz/#/forum/thread/229?post=5227
Council Term 23 Plan,Submitted,Plan,23,https://pioneerapp.xyz/#/forum/thread/229?post=5359
Council Term 22 Report,Submitted,Report,22,https://pioneerapp.xyz/#/forum/thread/230?post=5358
Council Term 23 Report,Submitted,Report,23,https://pioneerapp.xyz/#/forum/thread/230?post=5518
Council Term 24 Plan,Submitted,Plan,24,https://pioneerapp.xyz/#/forum/thread/229?post=5519
Council Term 24 Report,Submitted,Report,24,https://pioneerapp.xyz/#/forum/thread/230?post=5691
Council Term 25 Plan,Submitted,Plan,25,https://pioneerapp.xyz/#/forum/thread/229?post=5692
Council Term 25 Report,Submitted,Report,25,https://pioneerapp.xyz/#/forum/thread/230?post=5796
Council Term 26 Plan,Submitted,Plan,26,https://pioneerapp.xyz/#/forum/thread/229?post=5797
Council Term 26 Report,Submitted,Report,26,https://pioneerapp.xyz/#/forum/thread/230?post=5888
Council Term 27 Plan,Submitted,Plan,27,https://pioneerapp.xyz/#/forum/thread/229?post=5889
Council Term 27 Report,Submitted,Report,27,https://pioneerapp.xyz/#/forum/thread/230?post=6067
Council Term 28 Plan,Submitted,Plan,28,https://pioneerapp.xyz/#/forum/thread/229?post=6068
Council Term 28 Report,Submitted,Report,28,https://pioneerapp.xyz/#/forum/thread/230?post=6153
Council Term 29 Report,Submitted,Report,29,
