Property,Work Hours
l1dev (Lead activities only),20
ivant,12
polikosi,12
lkskrn,10
freakstatic,0
gyroflaw,0
mkblockchaindev,16
chaos77,10
TheGrimSavage,10
,
Lead Extra Hours:,5
,
