Property,Work Hours
chaos77,10
polikosi,12
lkskrn,10
freakstatic,0
l1dev (Lead activities only),20
ivant,12
TheGrimSavage,10
gyroflaw,0
mkblockchaindev,16
,
,
Lead Extra Hours:,5
