Name,Member ID,Reward,Worker ID
godshunter,1541,4.0000 JOY,5
alexznet,2574,8.0000 JOY,2
yyagi,3098,8.0000 JOY,7
joystreamstats,1305,8.0000 JOY,1
l1dev,515,12.0000 JOY,4
mmx1916,3085,8.0000 JOY,8
maxlevush,2130,8.0000 JOY,3
0x2bc,2098,15.0000 JOY,0
Craci_BwareLabs,3886,4.0000 JOY,9
