OKRs,No,Score,Status,Tasks
,4,0,Not started,Add Extrinsics
Better Pioneer UX,1,0,Not started,New forum page
,2,0,Not started,Staking Page
Validator Page,5,60,Done,Add staking info
,6,60,Done,Add validator info
Block Explorer,3,30,In progress,Add daily on-Chain Transactions
