OKRs,No,Tasks,Status,Score
Better Pioneer UX,1,New forum page,Not started,0
,2,Staking Page,Not started,0
Block Explorer,3,Add daily on-Chain Transactions,In progress,30
,4,Add Extrinsics,Not started,0
Validator Page,5,Add staking info,Done,60
,6,Add validator info,Done,60
