Worker,Performance,Remarks
,,
freakstatic,🟡,Low output
secret_girl,🟡,Low output
lkskrn,🟡,Low output
polikosi,🟢,All good
ivant,🟢,All good
jameswee,🟡,Low output
Premium,🟡,Low output
kazuyanomura,,Just joined
