Worker,Performance,Remarks
,,
polikosi,🟢,All good
ivant,🟢,All good
lkskrn,🟡,Low output
Premium,🟡,Low output
freakstatic,🟡,Low output
jameswee,🟡,Low output
secret_girl,🟡,Low output
kazuyanomura,,Just joined
