Title,average_size bytes,id,objects_num,total_size bytes
,59522401,2176,38,2261851260
,91295362,2023,8,730362900
,2022542,2297,3,6067626
,17364730,2160,250,4341182707
,78656,2018,2,157312
,6613135,2244,10,66131350
,1144838,2388,4,4579353
,1113422,2548,8,8907380
,5159321,2583,4,20637284
,3003601,2625,8,24028810
,811428,2513,4,3245713
,4959178,2455,4,19836713
,16191,2284,2,32382
,575625,2464,4,2302501
,390268870,2151,5,1951344352
,75022,2651,1,75022
,2948782,2491,4,11795128
,81540655,2607,2,163081311
,9472174,2057,22,208387839
,679758628,2065,14,9516620800
,536275597,2138,13,6971582762
,3972603,2568,4,15890413
,6613101,2337,6,39678606
,229363,2348,4,917454
,8840,2643,2,17680
,1625029,2399,4,6500116
,929842,2466,4,3719368
,2475031,2453,6,14850186
,123208725,2312,2,246417451
,21598330,2187,6,129589980
,3583729,2603,14,50172207
,17100789,2341,18,307814205
,301027504,2315,4,1204110016
,29062379,2123,6,174374276
,6613135,2230,44,290977940
,6993344,2577,4,27973376
,2021177,2605,4,8084710
,3163563,2474,4,12654252
,11732131,2257,20,234642635
,36548427,2249,80,2923874213
,74402320,2283,4,297609282
,2194649,2350,4,8778599
,57956,2218,2,115912
,1222842,2525,4,4891369
,1441807,2440,4,5767230
,14987,2004,2,29974
,1804289,2433,4,7217156
,214677,2594,4,858708
,127868,2483,8,1022945
,871170,2456,4,3484681
,1443032,2578,4,5772129
,865941021,2168,10,8659410214
,17252867,2328,32,552091756
,487859,2424,4,1951436
,85044940,2036,26,2211168465
,58347539,2159,302,17620956900
,948247,2498,10,9482470
,752794331,2275,4,3011177326
,7790,2631,2,15580
,3356558,2527,6,20139350
,4809149,2586,4,19236596
,1578553,2441,2,3157106
,665066,2405,4,2660266
,197960,2558,4,791840
,3038478,2662,6,18230870
,285769,2346,4,1143076
,1049972,2462,4,4199888
,233639,2588,4,934559
,60373405,2153,268,16180072595
,31190781,2031,66,2058591611
,31356,2232,3,94068
,6710295,2402,4,26841183
,915582,2572,4,3662331
,1213102,2423,4,4852409
,60241365,2098,128,7710894729
,46346269,2045,933,43241069533
,8064297,2647,4,32257190
,38811763,2183,7,271682346
,57600385,2408,36,2073613873
,32946441,2147,24,790714606
,644649,2561,4,2578597
,1215067,2517,10,12150672
,2741612,2276,2,5483224
,4761694,2521,4,19046776
,38600793,2117,5,193003969
,26330930,2099,6,157985584
,234368861,2069,9,2109319755
,3697843,2627,2,7395687
,42418188,2140,38,1611891145
,1255346,2363,4,5021385
,1061046,2063,4,4244185
,55973262,2259,9,503759364
,25287,2285,2,50574
,142571,2306,2,285142
,11914119,2164,4,47656478
,6134863,2553,12,73618366
,2449834,2546,4,9799339
,184519958,2116,9,1660679622
,450491639,2068,44,19821632143
,309634,2467,8,2477073
,80073679,2072,304,24342398570
,88024467,2342,4,352097870
,4682222,2034,17,79597776
,4768539,2516,4,19074159
,123950517,2606,4,495802071
,45388,2661,2,90776
,210117,2355,4,840471
,13041316,2652,24,312991594
,107083817,2146,14,1499173443
,12981,2305,2,25962
,16129470,2149,4,64517882
,25992,2444,2,51984
,39537381,2264,20,790747634
,9435788,2351,4,37743155
,6613135,2255,4,26452540
,12773878,2022,53,677015569
,854282,2642,6,5125692
,37656,2006,2,75312
,65822092,2047,234,15402369566
,36273656,2043,7,253915593
,246370,2364,4,985482
,390662,2460,4,1562651
,52142743,2048,58,3024279149
,63203104,2294,3,189609313
