"dataObjectsSize, GB",Utilization,bags,dataObjectsCount,dataObjectsSize,dataObjectsSizeLimit,id
"877,48",47%,660,15426,943109001423,2000000000000,1
"2,40",0%,1,12,2580456339,1000000000000,9
"0,01",0%,1,2,13226270,1500000000000,13
"877,48",47%,660,15426,943109001423,2000000000000,6
"0,01",0%,1,2,13226270,1500000000000,11
"877,48",67%,660,15426,943109001423,1400000000000,3
"0,00",0%,0,0,0,1500000000000,12
"0,00",0%,0,0,0,1500000000000,15
"0,01",0%,1,2,13226270,1500000000000,14
"0,00",0%,0,0,0,2000000000000,4
"877,48",63%,660,15426,943109001423,1500000000000,8
"0,25",0%,1,40,264524788,2000000000000,0
"877,48",67%,660,15426,943109001423,1400000000000,2
"0,01",0%,1,2,13226270,1500000000000,10
